# GimmeMotifs version 0.17.1
# Input: Weak.fasta
# Motifs: gimme.test/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2
 WeakFlank_0	1.354303	1.379587
 WeakFlank_1	-0.276187	1.339600
 WeakFlank_2	0.151726	0.662977
 WeakFlank_3	0.779617	-0.765863
 WeakFlank_4	0.129166	3.304211
 WeakFlank_5	-0.745450	-0.193030
 WeakFlank_6	-0.260219	0.439226
 WeakFlank_7	0.129166	1.463508
 WeakFlank_8	0.779617	1.415017
 WeakFlank_9	1.068727	-0.191671
 WeakFlank_10	0.820089	-0.275329
 WeakFlank_11	-0.022630	-0.315487
 WeakFlank_12	-0.022891	1.447442
 WeakFlank_13	-0.073511	-1.478438
 WeakFlank_14	0.458861	1.798260
 WeakFlank_15	-0.723962	2.961894
 WeakFlank_16	-0.073511	-1.108910
 WeakFlank_17	-0.580682	-1.364520
 WeakFlank_18	-0.174849	1.814718
 WeakFlank_19	0.104389	0.574833
 WeakFlank_20	-0.667625	-0.437767
 WeakFlank_21	-0.269754	1.531473
 WeakFlank_22	0.052708	0.686955
 WeakFlank_23	-0.073511	0.056389
 WeakFlank_24	-0.667625	-0.421712
 WeakFlank_25	-0.174849	-0.000015
 WeakFlank_26	-0.721166	0.149091
 WeakFlank_27	0.129166	0.065797
 WeakFlank_28	0.064313	1.024659
 WeakFlank_29	-0.338489	-0.002699
 WeakFlank_30	0.723615	0.616364
 WeakFlank_31	0.678278	-0.348743
 WeakFlank_32	-0.825300	-0.761590
 WeakFlank_33	-0.078197	0.092546
 WeakFlank_34	0.230504	-0.263024
 WeakFlank_35	0.227234	0.523312
 WeakFlank_36	-0.723962	0.662278
 WeakFlank_37	-0.446678	0.299855
 WeakFlank_38	-0.804258	0.389541
 WeakFlank_39	-0.825300	0.515239
 WeakFlank_40	-0.926638	-0.933105
 WeakFlank_41	-0.346227	1.108089
 WeakFlank_42	0.064313	-0.257167
 WeakFlank_43	2.146707	0.817139
 WeakFlank_44	0.007915	-1.141020
 WeakFlank_45	-0.109573	2.170906
 WeakFlank_46	-0.022630	0.978628
 WeakFlank_47	-0.353449	-0.375355
 WeakFlank_48	-0.667625	1.231028
 WeakFlank_49	0.405922	0.198211
 WeakFlank_50	0.064313	-0.844660
 WeakFlank_51	-0.580682	-1.005647
 WeakFlank_52	-0.804258	0.791745
 WeakFlank_53	4.731763	1.601536
 WeakFlank_54	-0.073511	3.172487
 WeakFlank_55	0.338185	-0.433974
 WeakFlank_56	0.338185	-1.251547
 WeakFlank_57	-0.256884	0.822842
 WeakFlank_58	0.709308	0.367320
 WeakFlank_59	0.622365	0.034905
 WeakFlank_60	0.405922	3.610338
 WeakFlank_61	-0.269754	0.669173
 WeakFlank_62	-0.858023	-0.634861
 WeakFlank_63	0.064313	-1.347781
 WeakFlank_64	-0.256884	-0.176236
 WeakFlank_65	0.529476	0.713283
 WeakFlank_66	1.009776	0.708229
 WeakFlank_67	-1.176718	0.403606
 WeakFlank_68	0.129166	-0.241471
 WeakFlank_69	1.212010	0.620682
 WeakFlank_70	-0.260219	-0.486207
 WeakFlank_71	0.129166	0.068183
 WeakFlank_72	0.338185	0.560768
 WeakFlank_73	2.134113	0.174774
 WeakFlank_74	-0.022630	1.273100
 WeakFlank_75	0.916563	-0.509139
 WeakFlank_76	-0.353449	-0.011052
 WeakFlank_77	0.338185	0.254377
 WeakFlank_78	-0.599516	1.507899
 WeakFlank_79	0.314826	-1.222481
 WeakFlank_80	0.524644	0.148932
 WeakFlank_81	0.779617	3.000648
 WeakFlank_82	-1.045082	-1.222042
 WeakFlank_83	-0.667625	0.230940
 WeakFlank_84	-0.166989	-0.283866
 WeakFlank_85	-0.338489	-1.667232
 WeakFlank_86	0.104389	0.074678
 WeakFlank_87	0.244955	0.515889
 WeakFlank_88	-0.109573	0.036968
 WeakFlank_89	5.185430	2.971992
 WeakFlank_90	-1.045082	1.156906
 WeakFlank_91	0.883194	2.029232
 WeakFlank_92	0.027828	-0.747207
 WeakFlank_93	-0.580682	0.130220
 WeakFlank_94	1.068727	0.639136
 WeakFlank_95	2.036211	0.392761
 WeakFlank_96	-0.022630	0.004067
 WeakFlank_97	-0.022630	-0.717874
 WeakFlank_98	-0.622623	-0.013443
 WeakFlank_99	-0.088558	0.107155
 WeakFlank_100	0.151256	-1.289987
 WeakFlank_101	-0.580682	3.241386
 WeakFlank_102	0.584609	1.267823
 WeakFlank_103	-0.353449	1.129248
 WeakFlank_104	0.529476	1.514402
 WeakFlank_105	1.441246	1.267000
 WeakFlank_106	1.267360	1.177523
 WeakFlank_107	-0.022630	-2.179759
 WeakFlank_108	-1.712906	0.806605
 WeakFlank_109	0.796251	1.431182
 WeakFlank_110	0.316578	0.854843
 WeakFlank_111	0.027828	-0.038376
 WeakFlank_112	0.154323	0.247878
 WeakFlank_113	0.849532	-1.453815
 WeakFlank_114	0.202254	1.990255
 WeakFlank_115	0.064313	-0.210802
 WeakFlank_116	-1.475751	-1.619940
 WeakFlank_117	-1.312619	-0.903057
 WeakFlank_118	-0.022630	-0.554826
 WeakFlank_119	-0.022630	2.312762
 WeakFlank_120	0.151256	0.764478
 WeakFlank_121	0.129166	-0.007461
 WeakFlank_122	1.441246	0.922808
 WeakFlank_123	-0.256884	1.623979
 WeakFlank_124	0.104389	0.896681
 WeakFlank_125	0.316578	-1.940835
 WeakFlank_126	-0.073511	0.603681
 WeakFlank_127	-1.176718	0.619578
 WeakFlank_128	-0.162021	1.057798
 WeakFlank_129	-1.475751	1.265949
 WeakFlank_130	1.734082	1.609407
 WeakFlank_131	-0.196515	-0.160637
 WeakFlank_132	-0.580682	-1.100227
 WeakFlank_133	0.431414	-0.305400
 WeakFlank_134	0.089681	0.780169
 WeakFlank_135	-0.135464	-0.535473
 WeakFlank_136	1.528188	0.653679
 WeakFlank_137	0.723615	1.371538
 WeakFlank_138	-0.929445	-0.106041
 WeakFlank_139	-0.109573	1.066857
 WeakFlank_140	0.314010	0.945473
 WeakFlank_141	0.597401	0.910863
 WeakFlank_142	-0.723962	-0.186765
 WeakFlank_143	0.007915	0.488217
 WeakFlank_144	-0.804258	0.647646
 WeakFlank_145	-0.142685	-0.190225
 WeakFlank_146	-1.374412	-0.786980
 WeakFlank_147	-1.027976	-1.133818
 WeakFlank_148	0.421743	-0.893433
 WeakFlank_149	0.064313	1.629112
 WeakFlank_150	-0.022891	-0.995714
 WeakFlank_151	0.723615	0.170690
 WeakFlank_152	0.151256	-0.617402
 WeakFlank_153	1.910220	1.128679
 WeakFlank_154	1.029818	0.313999
 WeakFlank_155	1.111391	-1.355002
 WeakFlank_156	-0.162021	1.225952
 WeakFlank_157	0.352287	0.541537
 WeakFlank_158	0.485712	-0.655931
 WeakFlank_159	1.037385	-0.178733
 WeakFlank_160	-0.723962	2.885047
 WeakFlank_161	-0.825300	1.013475
 WeakFlank_162	-1.454970	1.169895
 WeakFlank_163	0.089681	-0.437824
 WeakFlank_164	0.916563	0.629092
 WeakFlank_165	1.249497	1.134587
 WeakFlank_166	-0.723962	-0.472527
 WeakFlank_167	-0.435571	-1.779008
 WeakFlank_168	-0.580682	-0.550184
 WeakFlank_169	0.678278	0.489563
 WeakFlank_170	-0.723962	0.358602
 WeakFlank_171	0.709308	-0.305156
 WeakFlank_172	-0.088558	-0.246139
 WeakFlank_173	0.027828	1.329849
 WeakFlank_174	1.531406	-0.120937
 WeakFlank_175	0.151256	-0.396516
 WeakFlank_176	0.027828	-0.949089
 WeakFlank_177	0.007915	1.386406
 WeakFlank_178	1.158071	-0.537666
 WeakFlank_179	-0.928453	-0.454368
 WeakFlank_180	1.354303	0.205060
 WeakFlank_181	-0.667625	-0.364916
 WeakFlank_182	-0.338489	-0.740037
 WeakFlank_183	-0.723962	0.468318
 WeakFlank_184	-0.580682	1.391484
 WeakFlank_185	0.064313	-0.224184
 WeakFlank_186	0.238199	1.009283
 WeakFlank_187	0.357552	1.057073
 WeakFlank_188	0.485712	-1.055344
 WeakFlank_189	0.064313	-0.793765
 WeakFlank_190	0.459167	1.178965
 WeakFlank_191	1.872517	0.335902
