Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GimmeMotifs_1	4	2.000	100	1.000	1.47e-01	0.831	0.608	0.043	2.00	0.0150
GimmeMotifs_2	9	4.500	100	1.000	2.82e-04	3.550	0.582	0.043	4.50	0.0100
GimmeMotifs_3	8	4.000	100	1.000	1.25e-03	2.902	0.578	0.032	4.00	0.0000
GimmeMotifs_4	17	8.500	100	1.000	1.02e-10	9.992	0.579	0.078	8.50	0.0050
GimmeMotifs_5	6	3.000	100	1.000	1.78e-02	1.749	0.560	0.044	3.00	0.0200
GimmeMotifs_6	88	44.000	202	2.021	1.12e-85	84.950	0.691	0.403	21.78	0.2000
GimmeMotifs_7	10	5.000	101	1.010	6.21e-05	4.207	0.596	0.043	4.95	0.0050
GimmeMotifs_8	14	7.000	100	1.000	4.42e-08	7.355	0.584	0.065	7.00	0.0300
GimmeMotifs_9	3	1.500	121	1.210	4.40e-01	0.356	0.592	0.043	1.24	0.0100
GimmeMotifs_10	8	4.000	100	1.000	1.25e-03	2.902	0.568	0.032	4.00	0.0000
GimmeMotifs_11	3	1.500	101	1.010	3.34e-01	0.476	0.567	0.032	1.48	0.0100
