# GimmeMotifs version 0.17.1
# Input: Strong.fasta
# Motifs: gimme.test/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2	GimmeMotifs_3	GimmeMotifs_4	GimmeMotifs_5	GimmeMotifs_6	GimmeMotifs_7	GimmeMotifs_8	GimmeMotifs_9	GimmeMotifs_10	GimmeMotifs_11
 StrongFlank_0	0.040489	1.027268	-0.361980	1.314888	-0.828123	-1.204753	-0.535148	-0.280333	1.053032	0.309026	1.608832
 StrongFlank_1	-0.091594	-1.710995	-0.893083	-0.421652	-0.122966	0.676099	-0.861997	0.802644	-0.083272	0.690364	-0.149312
 StrongFlank_2	-0.019817	1.765752	2.875090	3.482490	1.537188	1.353572	0.790140	-0.401609	2.189336	-0.374768	-0.923964
 StrongFlank_3	-0.087407	0.805797	1.353193	-1.135686	0.089141	-0.593114	1.310954	-0.633290	1.193496	-0.032951	-0.378339
 StrongFlank_4	-0.415461	3.406487	2.174322	3.272340	0.477762	-1.008543	4.513796	0.022654	-1.163869	-0.426897	-0.375286
 StrongFlank_5	-0.270602	0.901317	2.521085	1.157477	0.105080	-0.898862	1.465679	1.469267	0.041295	1.705964	-0.594469
 StrongFlank_6	0.161335	-0.772496	1.175782	-0.606043	1.409671	-0.950148	0.104680	0.525410	1.114847	-0.108741	0.962442
 StrongFlank_7	0.109995	-1.053112	-0.064529	1.242629	0.057363	-0.916547	-0.915716	0.913711	1.188007	-0.178695	-0.149312
 StrongFlank_8	0.854395	0.341922	0.166009	0.272788	-0.075822	1.553607	-0.538850	-1.153472	0.201218	1.558839	-0.972753
 StrongFlank_9	0.459902	-0.198633	-1.408572	2.444015	0.652400	0.717844	-0.206663	-0.905910	0.048083	-0.165461	0.442890
 StrongFlank_10	1.510161	-0.659008	-2.167292	-0.329788	0.714036	-0.900369	1.346484	0.571363	1.253860	0.892225	0.200678
 StrongFlank_11	-0.130628	-0.548381	-0.088691	-1.234560	0.765266	0.652407	0.894982	1.336194	-0.095878	-0.914752	1.261066
 StrongFlank_12	-0.379873	-0.606138	-0.309411	-1.002148	0.105780	-0.752251	-0.476574	-0.771388	-0.841574	-1.914378	1.109733
 StrongFlank_13	-0.091476	-0.726715	-0.011439	1.134232	0.895392	1.557858	-0.122970	0.331700	0.341782	-0.054929	0.888629
 StrongFlank_14	1.306071	-0.245400	-2.081998	-1.227077	0.489860	0.815952	-0.444119	2.294405	-0.095878	0.361317	-0.485573
 StrongFlank_15	-0.039294	0.764994	-0.137519	0.580859	0.794211	0.937334	-0.504784	2.675535	-1.084601	0.905149	0.625340
 StrongFlank_16	-0.618116	1.359975	1.128998	1.803063	-0.910010	0.763995	2.344838	0.637389	0.178158	-0.284503	1.116981
 StrongFlank_17	-0.514171	-0.064137	0.051860	0.097392	1.888089	-0.593114	-0.049100	-0.962602	0.178158	1.264076	-0.486404
 StrongFlank_18	-0.133243	-0.169744	0.201217	-0.312085	0.716469	0.646060	0.728733	2.932513	-1.083449	-1.052085	0.405466
 StrongFlank_19	0.613200	2.089722	-0.311055	-0.756211	-0.094902	1.085872	0.488814	1.921382	0.041295	0.734158	0.315289
 StrongFlank_20	-0.423676	-0.243257	0.539447	-0.277912	-0.748885	0.671846	-0.321220	2.067803	1.053032	-0.183877	-0.923964
