# GimmeMotifs version 0.17.1
# Inputfile: Strong.fasta
Motif	best_match	best_match_pvalue	enr_at_fpr	fraction_fpr	ks_pvalue	ks_significance	max_enrichment	max_fmeasure	mncp	num_cluster	phyper_at_fpr	pr_auc	recall_at_fdr	roc_auc	roc_auc_xlim	score_at_fpr	stars
GimmeMotifs_1		0.3179943039280142	2.5	0.025	0.032132391204243604	1.49305695424411	5.0	0.6728090850653523	1.4217538057880206	1	0.10103738034055446	0.12924490716437786	0.00625	0.59649609375	0.008246093749999999	0.896087281809965	0
GimmeMotifs_2	GM.5.0.C2H2	0.09567953564706744	3.125	0.03125	0.004227328680385893	2.3739339838888687	5.0	0.6695095948827292	1.4748414053986523	1	0.03578139917970415	0.13410998550491499	0.00625	0.57098828125	0.01082812499999999	1.258876118728166	0
GimmeMotifs_3	GM.5.0.C2H2	0.0008288668904163909	3.125	0.03125	0.02010583897428374	1.6966777999895826	10.0	0.6679190148194531	1.4462326682027153	6	0.03578139917970415	0.13147569710933776	0.0125	0.56059375	0.007714843749999999	1.2366005818020744	0
GimmeMotifs_4		0.021409685550203283	1.25	0.0125	0.03213239120424338	1.4930569542441128	5.0	0.6731391585760518	1.2865026760237588	5	0.4973383492841842	0.11695990567266754	0.00625	0.56755078125	0.006832031249999996	1.1279565522423511	0
GimmeMotifs_5		0.000334534254681107	1.25	0.0125	0.11261935791504718	0.948386953062732	5.0	0.6757331066723332	1.208247268101769	1	0.4973383492841842	0.10986638488714943	0.00625	0.55383984375	0.005662109374999996	1.2140274969072247	0
GimmeMotifs_6		2.7675926198345024e-05	3.125	0.03125	0.03735606440469341	1.4276388845125292	10.0	0.6727534839019702	1.341627326044876	1	0.03578139917970415	0.12124165630139841	0.0	0.598130859375	0.005874218749999999	0.7342004289911362	0
GimmeMotifs_7	GM.5.0.C2H2	0.05610626534123897	1.875	0.01875	0.0018552949507287025	2.731587037374434	5.0	0.67395670609239	1.4329962249484154	3	0.24568121119376607	0.13026933061070065	0.0	0.59489453125	0.009722656249999996	1.2163767919175388	0
GimmeMotifs_8		0.008810789750904768	1.875	0.01875	0.12306444726634092	0.9098673945597697	10.0	0.6666666666666666	1.4871116311715844	3	0.24568121119376607	0.13519528160856598	0.0	0.57180859375	0.011535156250000003	1.4420626077699088	0
GimmeMotifs_9		0.01813733424414854	0.588235294117647	0.00625	5.773362069084561e-05	4.2385712054193165	5.0	0.66933277204799	1.2827584631636875	1	0.8217088520986834	0.1170654609488257	0.0	0.56534765625	0.006351562499999998	1.2979455360778644	0
GimmeMotifs_10	GM.5.0.Paired	0.024466718864072257	1.875	0.01875	0.012264602124269563	1.9113465361683175	5.0	0.6690361697679281	1.2666936470194412	1	0.24568121119376607	0.11519917586745865	0.0	0.5576328125000001	0.008074218749999992	1.1588346972236967	0
GimmeMotifs_11		0.13019620561546374	1.875	0.01875	0.0001704801178366447	3.7683262631073995	5.0	0.6691919191919191	1.2046467221800081	1	0.24568121119376607	0.10939186162894196	0.0	0.5503828125	0.006544692095588234	0.8023567739199604	0
