background_seqs	enhancer_offset	ctcf_offset_2	ctcf_offset_1	enhancer_flank_bp	ctcf_flank_bp_2	ctcf_flank_bp_1	enhancer_locus_specification	ctcf_locus_specification_2	ctcf_locus_specification_1	locus_orientation	gene_locus_specification	gene_flank_bp	gene_offset	gene_symbol	promoter_num_of_motifs	insert_loci	insert_flank_bp	insert_offsets
0				0	0	0				>	chr1,4502904,4522904,+	0	50000	ENSMUSG00000102269.1	6	None$None$chr1,4502904,4522904,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,4689404,4709404,-	0	50000	ENSMUSG00000098104.1	4	None$None$chr1,4689404,4709404,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,4751130,4771130,+	0	50000	ENSMUSG00000103922.1	13	None$None$chr1,4751130,4771130,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,4785711,4805711,-	0	50000	ENSMUSG00000033845.13	0	None$None$chr1,4785711,4805711,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,4779213,4799213,-	0	50000	ENSMUSG00000102275.1	5	None$None$chr1,4779213,4799213,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,4787787,4807787,+	0	50000	ENSMUSG00000025903.14	1	None$None$chr1,4787787,4807787,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,4837813,4857813,+	0	50000	ENSMUSG00000033813.15	13	None$None$chr1,4837813,4857813,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,4880652,4900652,-	0	50000	ENSMUSG00000062588.4	2	None$None$chr1,4880652,4900652,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,5019540,5039540,-	0	50000	ENSMUSG00000002459.17	11	None$None$chr1,5019540,5039540,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,5050017,5070017,+	0	50000	ENSMUSG00000033793.12	3	None$None$chr1,5050017,5070017,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,6186196,6206196,+	0	50000	ENSMUSG00000025907.14	8	None$None$chr1,6186196,6206196,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,6215294,6235294,-	0	50000	ENSMUSG00000090031.2	6	None$None$chr1,6215294,6235294,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,6896558,6916558,+	0	50000	ENSMUSG00000102135.1	3	None$None$chr1,6896558,6916558,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,7068919,7088919,+	0	50000	ENSMUSG00000051285.17	4	None$None$chr1,7068919,7088919,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,7136587,7156587,-	0	50000	ENSMUSG00000098201.1	5	None$None$chr1,7136587,7156587,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,7128109,7148109,+	0	50000	ENSMUSG00000103509.1	6	None$None$chr1,7128109,7148109,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,7157738,7177738,+	0	50000	ENSMUSG00000048538.7	4	None$None$chr1,7157738,7177738,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,7397802,7417802,-	0	50000	ENSMUSG00000097797.6	4	None$None$chr1,7397802,7417802,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,7477967,7497967,+	0	50000	ENSMUSG00000103067.1	2	None$None$chr1,7477967,7497967,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,7644080,7664080,+	0	50000	ENSMUSG00000103903.1	7	None$None$chr1,7644080,7664080,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9298574,9318574,-	0	50000	ENSMUSG00000025909.16	4	None$None$chr1,9298574,9318574,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,8792163,8812163,-	0	50000	ENSMUSG00000084353.1	1	None$None$chr1,8792163,8812163,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,8795841,8815841,+	0	50000	ENSMUSG00000103933.1	1	None$None$chr1,8795841,8815841,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,8796137,8816137,+	0	50000	ENSMUSG00000076135.1	1	None$None$chr1,8796137,8816137,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9525407,9545407,+	0	50000	ENSMUSG00000061024.8	14	None$None$chr1,9525407,9545407,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9527947,9547947,+	0	50000	ENSMUSG00000025911.14	16	None$None$chr1,9527947,9547947,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9554547,9574547,+	0	50000	ENSMUSG00000081441.3	9	None$None$chr1,9554547,9574547,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9700210,9720210,-	0	50000	ENSMUSG00000025912.16	11	None$None$chr1,9700210,9720210,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9748383,9768383,-	0	50000	ENSMUSG00000045210.8	10	None$None$chr1,9748383,9768383,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9727647,9747647,+	0	50000	ENSMUSG00000097893.8	11	None$None$chr1,9727647,9747647,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9778106,9798106,+	0	50000	ENSMUSG00000025915.14	8	None$None$chr1,9778106,9798106,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9888637,9908637,+	0	50000	ENSMUSG00000046101.16	7	None$None$chr1,9888637,9908637,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9944119,9964119,-	0	50000	ENSMUSG00000098234.7	12	None$None$chr1,9944119,9964119,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9942550,9962550,-	0	50000	ENSMUSG00000093178.1	12	None$None$chr1,9942550,9962550,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,9967933,9987933,-	0	50000	ENSMUSG00000099032.2	11	None$None$chr1,9967933,9987933,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,10038128,10058128,-	0	50000	ENSMUSG00000025917.9	10	None$None$chr1,10038128,10058128,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,10017986,10037986,+	0	50000	ENSMUSG00000056763.16	11	None$None$chr1,10017986,10037986,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,10232671,10252671,-	0	50000	ENSMUSG00000067851.11	9	None$None$chr1,10232671,10252671,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,10555554,10575554,-	0	50000	ENSMUSG00000083422.1	4	None$None$chr1,10555554,10575554,-$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,10848687,10868687,+	0	50000	ENSMUSG00000100648.1	6	None$None$chr1,10848687,10868687,+$None	0$0$0$0	None$None$50000$None
0				0	0	0				>	chr1,10973464,10993464,+	0	50000	ENSMUSG00000048960.13	5	None$None$chr1,10973464,10993464,+$None	0$0$0$0	None$None$50000$None
