chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
chr17,chr17	73302299,73302299	73302318,73302318	+,+	11.921875,11.921875	>>	1	25	65
chr17,chr2	73302299,4652199	73302318,4652218	+,-	11.921875,11.890625	>>	1	25	65
chr17,chr18	73302299,75757700	73302318,75757719	+,+	11.921875,11.8671875	>>	1	25	65
chr17,chr18	73302299,64506752	73302318,64506771	+,-	11.921875,11.765625	>>	1	25	65
chr17,chr11	73302299,31942430	73302318,31942449	+,+	11.921875,11.75	>>	1	25	65
chr17,chr15	73302299,44832752	73302318,44832771	+,-	11.921875,11.734375	>>	1	25	65
chr17,chr18	73302299,12102249	73302318,12102268	+,-	11.921875,11.734375	>>	1	25	65
chr17,chr12	73302299,36195136	73302318,36195155	+,-	11.921875,11.703125	>>	1	25	65
chr17,chr4	73302299,110020474	73302318,110020493	+,-	11.921875,11.6953125	>>	1	25	65
chr17,chr16	73302299,30550588	73302318,30550607	+,-	11.921875,11.65625	>>	1	25	65
chr17,chr2	73302299,166082373	73302318,166082392	+,-	11.921875,11.578125	>>	1	25	65
chr17,chr6	73302299,89679574	73302318,89679593	+,+	11.921875,11.53125	>>	1	25	65
chr17,chr18	73302299,42593296	73302318,42593315	+,+	11.921875,11.53125	>>	1	25	65
chr17,chr13	73302299,72625391	73302318,72625410	+,-	11.921875,11.515625	>>	1	25	65
chr17,chr11	73302299,102267646	73302318,102267665	+,-	11.921875,11.515625	>>	1	25	65
chr17,chr1	73302299,88742574	73302318,88742593	+,-	11.921875,11.484375	>>	1	25	65
chr17,chr3	73302299,54795996	73302318,54796015	+,+	11.921875,11.4375	>>	1	25	65
chr17,chr9	73302299,40806552	73302318,40806571	+,+	11.921875,11.40625	>>	1	25	65
chr17,chr13	73302299,94976307	73302318,94976326	+,+	11.921875,11.3828125	>>	1	25	65
chr17,chr15	73302299,96936904	73302318,96936923	+,+	11.921875,11.359375	>>	1	25	65
chr17,chr6	73302299,89679564	73302318,89679583	+,+	11.921875,11.359375	>>	1	25	65
chr17,chr9	73302299,60243693	73302318,60243712	+,+	11.921875,11.296875	>>	1	25	65
chr17,chr6	73302299,121556659	73302318,121556678	+,+	11.921875,11.265625	>>	1	25	65
chr17,chr2	73302299,53204718	73302318,53204737	+,-	11.921875,11.25	>>	1	25	65
chr17,chr15	73302299,36152175	73302318,36152194	+,-	11.921875,11.25	>>	1	25	65
chr17,chr8	73302299,84639400	73302318,84639419	+,-	11.921875,11.2421875	>>	1	25	65
chr17,chr1	73302299,151025083	73302318,151025102	+,+	11.921875,11.2265625	>>	1	25	65
chr17,chr19	73302299,37559784	73302318,37559803	+,+	11.921875,11.21875	>>	1	25	65
chr17,chr3	73302299,124289099	73302318,124289118	+,-	11.921875,11.171875	>>	1	25	65
chr17,chr4	73302299,127027425	73302318,127027444	+,+	11.921875,11.171875	>>	1	25	65
chr17,chr4	73302299,85404952	73302318,85404971	+,+	11.921875,11.125	>>	1	25	65
chr17,chr14	73302299,115451127	73302318,115451146	+,-	11.921875,11.1171875	>>	1	25	65
chr17,chr6	73302299,94054124	73302318,94054143	+,-	11.921875,11.109375	>>	1	25	65
chr17,chr13	73302299,55327888	73302318,55327907	+,+	11.921875,11.09375	>>	1	25	65
chr17,chr9	73302299,123925439	73302318,123925458	+,+	11.921875,11.0859375	>>	1	25	65
chr17,chr13	73302299,42826797	73302318,42826816	+,-	11.921875,11.0625	>>	1	25	65
chr17,chr7	73302299,143470155	73302318,143470174	+,-	11.921875,11.046875	>>	1	25	65
chr17,chr9	73302299,30936827	73302318,30936846	+,-	11.921875,11.015625	>>	1	25	65
