boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end	count	count	forward_scan	reverse_scan	scan_strand	mismatch	rf_diff
0	chr1	4410000	0	2	4403267-4403286	4400000	-	4403267	4403286	1	0	8.833118917996499	9.75661165086903	-	0	0.9234927328725302
1	chr1	4780000	4	10	4770055-4770074	4770000	+	4770055	4770074	1	0	12.298969044059255	9.266757265602582	+	0	3.0322117784566736
1	chr1	4780000	5	10	4770180-4770199	4770000	-	4770180	4770199	1	0	7.5956105739257875	9.879083900232907	-	0	2.283473326307119
1	chr1	4780000	6	10	4770867-4770886	4770000	+	4770867	4770886	1	0	9.71877818559654	8.000880991652643	+	0	1.7178971939438963
1	chr1	4780000	7	10	4773435-4773454	4770000	+	4773435	4773454	1	0	9.707200000092497	8.182703037310464	+	0	1.5244969627820328
1	chr1	4780000	9	10	4775739-4775758	4770000	+	4775739	4775758	1	0	9.826513404762787	8.70673143113268	+	0	1.1197819736301078
1	chr1	4780000	10	10	4777268-4777287	4770000	-	4777268	4777287	1	0	8.015956793737928	10.064664841403722	-	0	2.0487080476657944
1	chr1	4780000	11	10	4777427-4777446	4770000	-	4777427	4777446	1	0	7.9166215410227885	9.826513404762787	-	0	1.9098918637399986
3	chr1	5910000	22	4	5905000-5905019	5900000	-	5905000	5905019	1	0	8.266604859871299	10.596194254371142	-	0	2.329589394499843
3	chr1	5910000	23	4	5905410-5905429	5900000	+	5905410	5905429	1	0	10.113523686911229	7.983612093854504	+	0	2.1299115930567254
3	chr1	5910000	24	4	5905663-5905682	5900000	-	5905663	5905682	1	0	8.08696840089615	9.49129985627194	-	0	1.4043314553757895
4	chr1	6200000	27	5	6190724-6190743	6190000	-	6190724	6190743	1	0	6.9936606370370065	9.888891621436	-	0	2.895230984398994
4	chr1	6200000	28	5	6191534-6191553	6190000	-	6191534	6191553	1	0	8.811252832714423	10.293236968210547	-	0	1.4819841354961234
4	chr1	6200000	29	5	6195874-6195893	6190000	-	6195874	6195893	1	0	8.519521047301279	10.803395939924417	-	0	2.283874892623139
9	chr1	9550000	55	13	9545333-9545352	9540000	-	9545333	9545352	1	0	7.498941367962211	10.8059701447994	-	0	3.307028776837188
9	chr1	9550000	56	13	9546139-9546158	9540000	-	9546139	9546158	1	0	8.861638541961227	10.296991120496514	-	0	1.4353525785352872
9	chr1	9550000	57	13	9546407-9546426	9540000	+	9546407	9546426	1	0	10.094829153936624	8.213663476005461	+	0	1.881165677931163
9	chr1	9550000	58	13	9546589-9546608	9540000	-	9546589	9546608	1	0	9.322277383814516	10.021328630987073	-	0	0.699051247172557
9	chr1	9550000	59	13	9548558-9548577	9540000	+	9548558	9548577	1	0	9.461027328521023	7.251415117560213	+	0	2.2096122109608105
9	chr1	9550000	60	13	9548732-9548751	9540000	+	9548732	9548751	1	0	9.908201283923082	8.224572018868663	+	0	1.6836292650544191
9	chr1	9550000	61	13	9549166-9549185	9540000	+	9549166	9549185	1	0	11.076172300929654	8.921108628077175	+	0	2.1550636728524797
9	chr1	9550000	62	13	9549807-9549826	9540000	-	9549807	9549826	1	0	8.459681369716176	9.759838917594937	-	0	1.3001575478787615
11	chr1	10230000	75	5	10229100-10229119	10220000	+	10229100	10229119	1	0	10.46408427617022	9.580770380443035	+	0	0.883313895727186
11	chr1	10230000	76	5	10229217-10229236	10220000	+	10229217	10229236	1	0	9.905124410226222	8.763501746782218	+	0	1.1416226634440036
13	chr1	11150000	83	5	11140104-11140123	11140000	-	11140104	11140123	1	0	7.693107663668277	10.023059040452658	-	0	2.329951376784381
13	chr1	11150000	85	5	11143840-11143859	11140000	-	11143840	11143859	1	0	7.661336357723739	9.33078282712054	-	0	1.6694464693968012
13	chr1	11150000	86	5	11145411-11145430	11140000	+	11145411	11145430	1	0	9.02327405743302	8.322775692065882	+	0	0.7004983653671388
13	chr1	11150000	87	5	11149106-11149125	11140000	+	11149106	11149125	1	0	10.126670973351887	8.787208837174196	+	0	1.3394621361776906
14	chr1	11660000	91	2	11657891-11657910	11650000	+	11657891	11657910	1	0	11.559477240200245	8.019026169845587	+	0	3.540451070354658
15	chr1	12850000	96	6	12843776-12843795	12840000	-	12843776	12843795	1	0	7.614746739946478	9.833565562866816	-	0	2.2188188229203387
15	chr1	12850000	97	6	12844004-12844023	12840000	+	12844004	12844023	1	0	10.385593123550755	8.507513258637006	+	0	1.8780798649137491
15	chr1	12850000	98	6	12844329-12844348	12840000	-	12844329	12844348	1	0	7.961948589191557	9.284118485298318	-	0	1.322169896106761
17	chr1	14120000	106	4	14110186-14110205	14110000	-	14110186	14110205	1	0	7.515933762698676	9.912101298505753	-	0	2.396167535807077
18	chr1	14730000	112	2	14727560-14727579	14720000	-	14727560	14727579	1	0	7.746203527519938	9.489105417592913	-	0	1.7429018900729751
18	chr1	14730000	113	2	14729230-14729249	14720000	-	14729230	14729249	1	0	8.509214354026744	11.411337621291695	-	0	2.902123267264951
19	chr1	15000000	116	2	14995520-14995539	14990000	+	14995520	14995539	1	0	9.317471414151573	8.505677388685392	+	0	0.8117940254661811
19	chr1	15000000	117	2	14998395-14998414	14990000	-	14998395	14998414	1	0	8.054693596009812	9.336583870311413	-	0	1.2818902743016007
20	chr1	15640000	120	3	15632096-15632115	15630000	+	15632096	15632115	1	0	9.47805564501188	8.612603124918195	+	0	0.8654525200936849
20	chr1	15640000	121	3	15637465-15637484	15630000	-	15637465	15637484	1	0	7.673716768760042	9.60798669802842	-	0	1.9342699292683774
21	chr1	16100000	126	7	16092454-16092473	16090000	+	16092454	16092473	1	0	9.492852261160854	6.853179563083604	+	0	2.6396726980772502
23	chr1	17150000	138	5	17144488-17144507	17140000	-	17144488	17144507	1	0	7.335805162730466	9.924137616279245	-	0	2.5883324535487784
26	chr1	19090000	152	5	19084608-19084627	19080000	-	19084608	19084627	1	0	7.683227204507497	9.82589166150902	-	0	2.1426644570015236
26	chr1	19090000	153	5	19086935-19086954	19080000	-	19086935	19086954	1	0	7.975799264214543	9.362480691987635	-	0	1.386681427773092
28	chr1	20300000	164	3	20298719-20298738	20290000	-	20298719	20298738	1	0	9.342385037602634	9.631827808749097	-	0	0.28944277114646333
30	chr1	21420000	169	8	21411386-21411405	21410000	+	21411386	21411405	1	0	10.739783984977787	7.484090652641535	+	0	3.2556933323362527
30	chr1	21420000	172	8	21414847-21414866	21410000	-	21414847	21414866	1	0	7.222585925106302	9.705785335618717	-	0	2.483199410512415
31	chr1	21960000	179	2	21950776-21950795	21950000	-	21950776	21950795	1	0	7.474814019192361	9.41576529173383	-	0	1.9409512725414695
36	chr1	24290000	207	3	24286577-24286596	24280000	-	24286577	24286596	1	0	7.876777954692921	9.416469381670638	-	0	1.5396914269777167
37	chr1	24690000	213	5	24684249-24684268	24680000	+	24684249	24684268	1	0	9.644832767490287	9.308205213244568	+	0	0.33662755424571955
38	chr1	25530000	219	3	25527135-25527154	25520000	+	25527135	25527154	1	0	10.182214569467522	8.918373067995695	+	0	1.263841501471827
44	chr1	28800000	244	1	28793234-28793253	28790000	+	28793234	28793253	1	0	9.944003597130415	8.630548537653405	+	0	1.3134550594770094
46	chr1	30700000	250	3	30697323-30697342	30690000	+	30697323	30697342	1	0	9.674782724653678	7.300003112902984	+	0	2.374779611750694
49	chr1	32170000	258	1	32160894-32160913	32160000	-	32160894	32160913	1	0	7.616539672767213	9.315348462099717	-	0	1.698808789332504
50	chr1	32720000	260	2	32712227-32712246	32710000	-	32712227	32712246	1	0	7.492067693725185	9.872040772465974	-	0	2.3799730787407887
52	chr1	34460000	270	7	34453048-34453067	34450000	+	34453048	34453067	1	0	10.194944604597417	7.68494651520915	+	0	2.509998089388267
52	chr1	34460000	271	7	34456487-34456506	34450000	-	34456487	34456506	1	0	9.610415135600453	10.107542631969082	-	0	0.49712749636862874
52	chr1	34460000	274	7	34459879-34459898	34450000	+	34459879	34459898	1	0	10.056185762671582	7.67940756693504	+	0	2.3767781957365424
53	chr1	34890000	277	2	34883192-34883211	34880000	-	34883192	34883211	1	0	8.123486585885018	9.691398952519553	-	0	1.567912366634534
55	chr1	35720000	285	4	35713888-35713907	35710000	+	35713888	35713907	1	0	9.792748824052188	7.573201549367727	+	0	2.2195472746844604
55	chr1	35720000	286	4	35716130-35716149	35710000	-	35716130	35716149	1	0	7.947683423304122	11.118167132528928	-	0	3.170483709224806
56	chr1	36140000	291	4	36133098-36133117	36130000	+	36133098	36133117	1	0	9.812780169301325	8.390907202477068	+	0	1.4218729668242567
57	chr1	36780000	297	3	36774637-36774656	36770000	+	36774637	36774656	1	0	9.63953875176881	8.478711541751753	+	0	1.1608272100170574
57	chr1	36780000	299	3	36778137-36778156	36770000	-	36778137	36778156	1	0	7.966472734749733	9.712983652502913	-	0	1.7465109177531808
58	chr1	37260000	302	8	37250510-37250529	37250000	+	37250510	37250529	1	0	10.625091979031692	9.773292119767367	+	0	0.8517998592643252
58	chr1	37260000	303	8	37250857-37250876	37250000	-	37250857	37250876	1	0	7.837552418447272	11.786936461005354	-	0	3.9493840425580817
58	chr1	37260000	306	8	37255135-37255154	37250000	+	37255135	37255154	1	0	10.003772220367889	8.561203362440555	+	0	1.4425688579273341
58	chr1	37260000	307	8	37258139-37258158	37250000	+	37258139	37258158	1	0	9.876061851750128	7.780960407000974	+	0	2.0951014447491545
58	chr1	37260000	309	8	37259328-37259347	37250000	-	37259328	37259347	1	0	8.247456637327257	9.359249575671043	-	0	1.1117929383437861
59	chr1	37660000	315	6	37656131-37656150	37650000	-	37656131	37656150	1	0	8.25938722008877	10.143662801110025	-	0	1.8842755810212548
59	chr1	37660000	317	6	37659824-37659843	37650000	-	37659824	37659843	1	0	8.011702875655317	9.91220384000199	-	0	1.9005009643466728
61	chr1	38140000	326	2	38130121-38130140	38130000	-	38130121	38130140	1	0	9.21268383219579	11.131543986467644	-	0	1.9188601542718544
61	chr1	38140000	327	2	38132329-38132348	38130000	+	38132329	38132348	1	0	9.699118124264128	9.434557700828115	+	0	0.2645604234360128
62	chr1	38790000	330	5	38780239-38780258	38780000	+	38780239	38780258	1	0	10.661849025044688	7.709900894153769	+	0	2.9519481308909192
62	chr1	38790000	331	5	38785332-38785351	38780000	+	38785332	38785351	1	0	9.753755465044012	9.292105246250253	+	0	0.4616502187937588
62	chr1	38790000	332	5	38787633-38787652	38780000	-	38787633	38787652	1	0	8.07574160879225	10.270316257210911	-	0	2.194574648418662
62	chr1	38790000	333	5	38789134-38789153	38780000	+	38789134	38789153	1	0	11.323248241283553	7.860680588664698	+	0	3.462567652618855
63	chr1	39000000	338	3	38999284-38999303	38990000	+	38999284	38999303	1	0	10.042177498952507	8.5519065717355	+	0	1.490270927217006
64	chr1	39370000	342	5	39360518-39360537	39360000	+	39360518	39360537	1	0	9.888853046671246	8.052366696229097	+	0	1.836486350442149
64	chr1	39370000	343	5	39362330-39362349	39360000	+	39362330	39362349	1	0	9.96132340920763	8.480961672906455	+	0	1.480361736301175
64	chr1	39370000	344	5	39364659-39364678	39360000	+	39364659	39364678	1	0	9.761297122319366	8.73804759962554	+	0	1.0232495226938259
64	chr1	39370000	345	5	39365142-39365161	39360000	+	39365142	39365161	1	0	9.594710093522579	7.150360731667726	+	0	2.4443493618548535
64	chr1	39370000	346	5	39368956-39368975	39360000	+	39368956	39368975	1	0	9.557695476072443	7.916664957514129	+	0	1.6410305185583134
65	chr1	39550000	350	4	39544586-39544605	39540000	-	39544586	39544605	1	0	7.071549092199199	9.838437756434129	-	0	2.76688866423493
65	chr1	39550000	352	4	39547425-39547444	39540000	+	39547425	39547444	1	0	10.710514281898076	8.815797729294458	+	0	1.8947165526036187
66	chr1	40000000	355	3	39990443-39990462	39990000	+	39990443	39990462	1	0	10.020515198660842	7.49424541697286	+	0	2.526269781687982
66	chr1	40000000	357	3	39999917-39999936	39990000	-	39999917	39999936	1	0	8.124276162902447	9.556514890193903	-	0	1.4322387272914554
67	chr1	40860000	360	4	40854800-40854819	40850000	-	40854800	40854819	1	0	7.933621092786678	9.352487841974728	-	0	1.4188667491880498
67	chr1	40860000	361	4	40856178-40856197	40850000	-	40856178	40856197	1	0	7.0645637616601205	9.97668859205651	-	0	2.9121248303963894
67	chr1	40860000	362	4	40857938-40857957	40850000	-	40857938	40857957	1	0	7.901479382054082	9.753332422403385	-	0	1.8518530403493036
