chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
chr17,chr2	86906315,118638274	86906334,118638293	-,+	46.8125,48.6875	>>	1	0	90
chr17,chr1	86906315,21411386	86906334,21411405	-,+	46.8125,48.4375	>>	1	0	90
chr17,chr12	86906315,92303369	86906334,92303388	-,+	46.8125,51.625	>>	1	0	90
chr17,chr15	86906315,44836383	86906334,44836402	-,+	46.8125,47.125	>>	1	0	90
chr17,chr1	86906315,54381456	86906334,54381475	-,-	46.8125,43.5625	>>	1	0	90
chr17,chr8	86906315,58566264	86906334,58566283	-,+	46.8125,52.875	>>	1	0	90
chr17,chr18	86906315,19939543	86906334,19939562	-,-	46.8125,40.25	>>	1	0	90
chr17,chr3	86906315,45375944	86906334,45375963	-,+	46.8125,40.6875	>>	1	0	90
chr17,chr3	86906315,31146116	86906334,31146135	-,+	46.8125,44.1875	>>	1	0	90
chr17,chr15	86906315,11038668	86906334,11038687	-,+	46.8125,42.0	>>	1	0	90
chr18,chr2	56759284,118638274	56759303,118638293	+,+	20.71875,48.6875	>>	1	0	90
chr18,chr1	56759284,21411386	56759303,21411405	+,+	20.71875,48.4375	>>	1	0	90
chr18,chr12	56759284,92303369	56759303,92303388	+,+	20.71875,51.625	>>	1	0	90
chr18,chr15	56759284,44836383	56759303,44836402	+,+	20.71875,47.125	>>	1	0	90
chr18,chr1	56759284,54381456	56759303,54381475	+,-	20.71875,43.5625	>>	1	0	90
chr18,chr8	56759284,58566264	56759303,58566283	+,+	20.71875,52.875	>>	1	0	90
chr18,chr18	56759284,19939543	56759303,19939562	+,-	20.71875,40.25	>>	1	0	90
chr18,chr3	56759284,45375944	56759303,45375963	+,+	20.71875,40.6875	>>	1	0	90
chr18,chr3	56759284,31146116	56759303,31146135	+,+	20.71875,44.1875	>>	1	0	90
chr18,chr15	56759284,11038668	56759303,11038687	+,+	20.71875,42.0	>>	1	0	90
chr6,chr2	144248117,118638274	144248136,118638293	+,+	8.765625,48.6875	>>	1	0	90
chr6,chr1	144248117,21411386	144248136,21411405	+,+	8.765625,48.4375	>>	1	0	90
chr6,chr12	144248117,92303369	144248136,92303388	+,+	8.765625,51.625	>>	1	0	90
chr6,chr15	144248117,44836383	144248136,44836402	+,+	8.765625,47.125	>>	1	0	90
chr6,chr1	144248117,54381456	144248136,54381475	+,-	8.765625,43.5625	>>	1	0	90
chr6,chr8	144248117,58566264	144248136,58566283	+,+	8.765625,52.875	>>	1	0	90
