chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
chr9,chr9	15685383,15685383	15685402,15685402	+,+	54.0,54.0	>>	1	25	65
chr9,chr12	15685383,35192361	15685402,35192380	+,+	54.0,53.78125	>>	1	25	65
chr9,chr2	15685383,48886252	15685402,48886271	+,-	54.0,53.6875	>>	1	25	65
chr9,chr12	15685383,35192359	15685402,35192378	+,-	54.0,53.65625	>>	1	25	65
chr9,chr8	15685383,102781112	15685402,102781131	+,-	54.0,53.5	>>	1	25	65
chr9,chr5	15685383,49961991	15685402,49962010	+,-	54.0,53.3125	>>	1	25	65
chr9,chr9	15685383,26776356	15685402,26776375	+,-	54.0,53.125	>>	1	25	65
chr9,chr9	15685383,51152589	15685402,51152608	+,-	54.0,53.0625	>>	1	25	65
chr9,chr8	15685383,58566264	15685402,58566283	+,+	54.0,52.875	>>	1	25	65
chr9,chr12	15685383,40837731	15685402,40837750	+,+	54.0,52.84375	>>	1	25	65
chr9,chr8	15685383,36523116	15685402,36523135	+,-	54.0,52.5	>>	1	25	65
chr9,chr6	15685383,101261721	15685402,101261740	+,-	54.0,52.5	>>	1	25	65
chr9,chr11	15685383,57467954	15685402,57467973	+,-	54.0,52.375	>>	1	25	65
chr9,chr4	15685383,70621534	15685402,70621553	+,-	54.0,52.28125	>>	1	25	65
chr9,chr2	15685383,101905952	15685402,101905971	+,+	54.0,52.25	>>	1	25	65
chr9,chr13	15685383,19698902	15685402,19698921	+,+	54.0,51.9375	>>	1	25	65
chr9,chr16	15685383,13117402	15685402,13117421	+,+	54.0,51.9375	>>	1	25	65
chr9,chr9	15685383,63136044	15685402,63136063	+,+	54.0,51.75	>>	1	25	65
chr9,chr12	15685383,92303369	15685402,92303388	+,+	54.0,51.625	>>	1	25	65
chr9,chr11	15685383,31949597	15685402,31949616	+,-	54.0,51.5625	>>	1	25	65
chr9,chr9	15685383,49494116	15685402,49494135	+,+	54.0,51.1875	>>	1	25	65
chr9,chr12	15685383,17554295	15685402,17554314	+,+	54.0,51.1875	>>	1	25	65
chr9,chr9	15685383,88222169	15685402,88222188	+,-	54.0,51.15625	>>	1	25	65
chr9,chr1	15685383,55404542	15685402,55404561	+,+	54.0,51.125	>>	1	25	65
chr9,chr12	15685383,57825931	15685402,57825950	+,+	54.0,51.0625	>>	1	25	65
chr9,chr3	15685383,57843966	15685402,57843985	+,+	54.0,50.9375	>>	1	25	65
chr9,chr16	15685383,22564764	15685402,22564783	+,+	54.0,50.8125	>>	1	25	65
chr9,chr7	15685383,132213675	15685402,132213694	+,-	54.0,50.59375	>>	1	25	65
chr9,chr16	15685383,72215914	15685402,72215933	+,-	54.0,50.375	>>	1	25	65
chr9,chr18	15685383,16217031	15685402,16217050	+,+	54.0,50.1875	>>	1	25	65
chr9,chr11	15685383,113165297	15685402,113165316	+,-	54.0,50.125	>>	1	25	65
chr9,chr14	15685383,34810922	15685402,34810941	+,+	54.0,49.875	>>	1	25	65
chr9,chr17	15685383,83271677	15685402,83271696	+,+	54.0,49.25	>>	1	25	65
chr9,chr12	15685383,78056172	15685402,78056191	+,+	54.0,49.125	>>	1	25	65
chr9,chr16	15685383,89765679	15685402,89765698	+,-	54.0,49.0	>>	1	25	65
chr9,chr13	15685383,112264852	15685402,112264871	+,-	54.0,48.9375	>>	1	25	65
chr9,chr13	15685383,112264855	15685402,112264874	+,-	54.0,48.875	>>	1	25	65
chr9,chr2	15685383,118638274	15685402,118638293	+,+	54.0,48.6875	>>	1	25	65
chr9,chr15	15685383,32766466	15685402,32766485	+,-	54.0,48.46875	>>	1	25	65
chr9,chr1	15685383,21411386	15685402,21411405	+,+	54.0,48.4375	>>	1	25	65
chr9,chr6	15685383,43686121	15685402,43686140	+,+	54.0,48.3125	>>	1	25	65
chr9,chr13	15685383,30260113	15685402,30260132	+,-	54.0,48.25	>>	1	25	65
chr9,chr9	15685383,60245108	15685402,60245127	+,+	54.0,47.96875	>>	1	25	65
chr9,chr1	15685383,103799500	15685402,103799519	+,+	54.0,47.9375	>>	1	25	65
chr9,chr7	15685383,86211545	15685402,86211564	+,-	54.0,47.9375	>>	1	25	65
chr9,chr11	15685383,40149490	15685402,40149509	+,-	54.0,47.46875	>>	1	25	65
chr9,chr11	15685383,25862970	15685402,25862989	+,-	54.0,47.1875	>>	1	25	65
chr9,chr16	15685383,72218208	15685402,72218227	+,+	54.0,47.125	>>	1	25	65
chr9,chr15	15685383,44836383	15685402,44836402	+,+	54.0,47.125	>>	1	25	65
chr9,chr16	15685383,64748436	15685402,64748455	+,-	54.0,47.0	>>	1	25	65
chr9,chr17	15685383,86906315	15685402,86906334	+,-	54.0,46.8125	>>	1	25	65
chr9,chr18	15685383,57976796	15685402,57976815	+,+	54.0,46.8125	>>	1	25	65
chr9,chr3	15685383,14679375	15685402,14679394	+,+	54.0,46.8125	>>	1	25	65
chr9,chr6	15685383,13281045	15685402,13281064	+,-	54.0,46.75	>>	1	25	65
chr9,chr12	15685383,17554309	15685402,17554328	+,-	54.0,46.625	>>	1	25	65
chr9,chr3	15685383,68056531	15685402,68056550	+,+	54.0,46.625	>>	1	25	65
chr9,chr3	15685383,9711102	15685402,9711121	+,+	54.0,46.5625	>>	1	25	65
chr9,chr16	15685383,37109440	15685402,37109459	+,+	54.0,46.34375	>>	1	25	65
chr9,chr3	15685383,153655299	15685402,153655318	+,-	54.0,46.0625	>>	1	25	65
chr9,chr16	15685383,96671788	15685402,96671807	+,-	54.0,46.0625	>>	1	25	65
chr9,chr18	15685383,58481865	15685402,58481884	+,-	54.0,45.875	>>	1	25	65
chr9,chr7	15685383,125393828	15685402,125393847	+,-	54.0,45.75	>>	1	25	65
chr9,chr16	15685383,25349805	15685402,25349824	+,-	54.0,45.625	>>	1	25	65
chr9,chr4	15685383,74231656	15685402,74231675	+,-	54.0,45.375	>>	1	25	65
chr9,chr4	15685383,74231658	15685402,74231677	+,+	54.0,45.21875	>>	1	25	65
chr9,chr13	15685383,89543209	15685402,89543228	+,-	54.0,45.1875	>>	1	25	65
chr9,chr1	15685383,179477243	15685402,179477262	+,-	54.0,45.0	>>	1	25	65
chr9,chr4	15685383,127368529	15685402,127368548	+,+	54.0,44.75	>>	1	25	65
chr9,chr3	15685383,25220803	15685402,25220822	+,-	54.0,44.625	>>	1	25	65
chr9,chr12	15685383,41487217	15685402,41487236	+,-	54.0,44.5625	>>	1	25	65
chr9,chr14	15685383,102510621	15685402,102510640	+,-	54.0,44.40625	>>	1	25	65
chr9,chr4	15685383,25180062	15685402,25180081	+,-	54.0,44.375	>>	1	25	65
chr9,chr3	15685383,31146116	15685402,31146135	+,+	54.0,44.1875	>>	1	25	65
chr9,chr16	15685383,58299639	15685402,58299658	+,+	54.0,44.125	>>	1	25	65
chr9,chr5	15685383,16309782	15685402,16309801	+,+	54.0,43.9375	>>	1	25	65
chr9,chr7	15685383,118102436	15685402,118102455	+,-	54.0,43.875	>>	1	25	65
chr9,chr5	15685383,16309780	15685402,16309799	+,-	54.0,43.75	>>	1	25	65
chr9,chr13	15685383,51830906	15685402,51830925	+,+	54.0,43.625	>>	1	25	65
chr9,chr6	15685383,100882571	15685402,100882590	+,+	54.0,43.59375	>>	1	25	65
chr9,chr1	15685383,54381456	15685402,54381475	+,-	54.0,43.5625	>>	1	25	65
chr9,chr7	15685383,143153991	15685402,143154010	+,+	54.0,43.375	>>	1	25	65
chr9,chr9	15685383,122729740	15685402,122729759	+,-	54.0,43.3125	>>	1	25	65
chr9,chr2	15685383,113494885	15685402,113494904	+,+	54.0,43.1875	>>	1	25	65
chr9,chr12	15685383,74013946	15685402,74013965	+,-	54.0,43.125	>>	1	25	65
chr9,chr13	15685383,113877596	15685402,113877615	+,+	54.0,43.125	>>	1	25	65
chr9,chr1	15685383,120586652	15685402,120586671	+,+	54.0,43.09375	>>	1	25	65
chr9,chr17	15685383,42603598	15685402,42603617	+,-	54.0,43.0625	>>	1	25	65
chr9,chr8	15685383,50293731	15685402,50293750	+,-	54.0,42.875	>>	1	25	65
chr9,chr1	15685383,5905000	15685402,5905019	+,-	54.0,42.8125	>>	1	25	65
chr9,chr16	15685383,27468962	15685402,27468981	+,+	54.0,42.75	>>	1	25	65
chr9,chr15	15685383,70921072	15685402,70921091	+,-	54.0,42.625	>>	1	25	65
chr9,chr8	15685383,91797706	15685402,91797725	+,+	54.0,42.59375	>>	1	25	65
chr9,chr3	15685383,80079950	15685402,80079969	+,+	54.0,42.5	>>	1	25	65
chr9,chr18	15685383,16211890	15685402,16211909	+,-	54.0,42.46875	>>	1	25	65
chr9,chr3	15685383,113080921	15685402,113080940	+,-	54.0,42.46875	>>	1	25	65
chr9,chr2	15685383,17415562	15685402,17415581	+,-	54.0,42.34375	>>	1	25	65
chr9,chr7	15685383,49121484	15685402,49121503	+,-	54.0,42.3125	>>	1	25	65
chr9,chr18	15685383,16211892	15685402,16211911	+,+	54.0,42.3125	>>	1	25	65
chr9,chr8	15685383,26184368	15685402,26184387	+,+	54.0,42.21875	>>	1	25	65
chr9,chr2	15685383,37815860	15685402,37815879	+,+	54.0,42.1875	>>	1	25	65
