boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end	seq_id	forward_scan	reverse_scan	scan_strand	mismatch	rf_diff
229	chr1	128370000	1178	4	128367145-128367164	128360000	+	128367145	128367164	315	9.578156191083533	9.731973868707698	-	1	0.15381767762416487
288	chr1	160200000	1493	6	160197509-160197528	160190000	+	160197509	160197528	408	9.49947582958782	9.555385613358471	-	1	0.0559097837706517
292	chr1	161740000	1513	5	161735161-161735180	161730000	-	161735161	161735180	412	9.410670359605314	9.245034455919056	+	1	0.16563590368625825
341	chr1	184800000	1832	6	184790806-184790825	184790000	+	184790806	184790825	513	9.374499099529427	9.455610050443063	-	1	0.08111095091363651
363	chr2	3850000	1979	4	3840133-3840152	3840000	-	3840133	3840152	550	9.989557552319495	9.828650970140549	+	1	0.1609065821789457
392	chr2	18230000	2138	1	18221059-18221078	18220000	-	18221059	18221078	587	9.852832802578012	9.550897798029812	+	1	0.3019350045482003
467	chr2	58700000	2585	4	58698843-58698862	58690000	-	58698843	58698862	726	9.204394254465996	9.192022137307115	+	1	0.012372117158880869
663	chr2	154630000	3617	7	154624162-154624181	154620000	+	154624162	154624181	1025	9.69904148972586	10.097949243863752	-	1	0.3989077541378929
725	chr3	11090000	4077	1	11083624-11083643	11080000	-	11083624	11083643	1172	9.798263050926984	9.584265556775968	+	1	0.2139974941510161
797	chr3	54800000	4412	9	54790591-54790610	54790000	-	54790591	54790610	1249	9.84549681560505	9.788776718308949	+	1	0.05672009729610217
816	chr3	63550000	4508	3	63546853-63546872	63540000	+	63546853	63546872	1285	9.798231611267376	9.824884150686398	-	1	0.026652539419021792
818	chr3	64930000	4518	2	64921722-64921741	64920000	-	64921722	64921741	1289	9.862562470779155	9.840314468813231	+	1	0.02224800196592369
966	chr3	144420000	5332	5	144418917-144418936	144410000	-	144418917	144418936	1495	9.231926257575124	9.015892615641695	+	1	0.21603364193342856
970	chr3	146190000	5352	5	146181388-146181407	146180000	-	146181388	146181407	1500	9.600645773619469	9.349044253109867	+	1	0.2516015205096025
983	chr3	153660000	5415	5	153652168-153652187	153650000	-	153652168	153652187	1523	9.47741024068708	9.328531475658606	+	1	0.1488787650284742
1063	chr4	44710000	5817	4	44705523-44705542	44700000	+	44705523	44705542	1618	9.634501429768731	9.666793147807283	-	1	0.03229171803855202
1217	chr4	127030000	6776	7	127022161-127022180	127020000	-	127022161	127022180	1880	10.139906647377014	10.023922443987928	+	1	0.1159842033890861
1389	chr5	75180000	7853	8	75173533-75173552	75170000	-	75173533	75173552	2201	9.160497986446757	9.107963706129379	+	1	0.052534280317377835
1420	chr5	91420000	7995	2	91413459-91413478	91410000	+	91413459	91413478	2237	9.238628837081155	9.334872150402258	-	1	0.09624331332110359
1456	chr5	112430000	8202	9	112422808-112422827	112420000	-	112422808	112422827	2294	9.994862102709746	9.409827452086226	+	1	0.5850346506235198
1481	chr5	125520000	8416	8	125516047-125516066	125510000	-	125516047	125516066	2375	9.537553177383653	9.279651834447417	+	1	0.25790134293623623
1501	chr5	136270000	8567	7	136261307-136261326	136260000	+	136261307	136261326	2409	9.541727425640847	9.552197444002015	-	1	0.010470018361168343
1597	chr6	40480000	9126	7	40471331-40471350	40470000	-	40471331	40471350	2532	9.35601985967527	9.095808756932234	+	1	0.2602111027430354
1943	chr7	89910000	11207	8	89903554-89903573	89900000	+	89903554	89903573	3116	9.079370323112585	9.175634951019955	-	1	0.09626462790737023
1956	chr7	97350000	11267	1	97344938-97344957	97340000	-	97344938	97344957	3126	9.162270009939405	9.093994937778545	+	1	0.06827507216086026
1964	chr7	100890000	11319	10	100881076-100881095	100880000	+	100881076	100881095	3146	9.195506751250257	9.921978307098547	-	1	0.7264715558482902
2024	chr7	131380000	11730	4	131370656-131370675	131370000	-	131370656	131370675	3279	9.829793161641028	9.754130989653675	+	1	0.07566217198735359
2029	chr7	133170000	11764	3	133162262-133162281	133160000	+	133162262	133162281	3293	9.283274342355165	9.559437463170266	-	1	0.2761631208151005
2030	chr7	133640000	11769	5	133632640-133632659	133630000	+	133632640	133632659	3295	9.390515341195421	9.4603045328357	-	1	0.06978919164027886
2048	chr7	143160000	11918	8	143159278-143159297	143150000	+	143159278	143159297	3360	9.306721708874425	9.507837362896371	-	1	0.20111565402194564
2073	chr8	16720000	12079	5	16716934-16716953	16710000	+	16716934	16716953	3420	9.445110095327184	9.661275551065309	-	1	0.21616545573812473
2077	chr8	18950000	12099	4	18942052-18942071	18940000	+	18942052	18942071	3427	9.268707796231494	9.296380870984233	-	1	0.02767307475273917
2168	chr8	71380000	12587	7	71375791-71375810	71370000	-	71375791	71375810	3565	9.752677132504122	9.41532481988007	+	1	0.3373523126240521
2433	chr9	74110000	14300	4	74101823-74101842	74100000	-	74101823	74101842	4096	9.727123074170763	9.485686597008794	+	1	0.2414364771619688
2475	chr9	96890000	14546	10	96887023-96887042	96880000	-	96887023	96887042	4182	9.583424452946598	8.983223203808903	+	1	0.6002012491376956
2605	chr10	41300000	15310	7	41291282-41291301	41290000	-	41291282	41291301	4383	10.026635717652079	9.277278831532328	+	1	0.7493568861197506
2650	chr10	64080000	15584	3	64075306-64075325	64070000	-	64075306	64075325	4448	9.548358777031737	9.232439698688093	+	1	0.31591907834364363
2776	chr11	5960000	16347	6	5956078-5956097	5950000	-	5956078	5956097	4663	9.367173450451062	9.32085964121596	+	1	0.046313809235101644
2977	chr11	95680000	17576	7	95673551-95673570	95670000	+	95673551	95673570	5006	9.429882311998341	9.577741032142447	-	1	0.1478587201441055
3002	chr11	106270000	17786	12	106268102-106268121	106260000	+	106268102	106268121	5088	9.2520919289983	9.53194302342889	-	1	0.2798510944305903
3072	chr12	30590000	18260	6	30589129-30589148	30580000	-	30589129	30589148	5250	9.373333507080588	9.219946672899805	+	1	0.15338683418078247
3181	chr12	87000000	18869	8	86999732-86999751	86990000	+	86999732	86999751	5418	10.047020731395012	10.121011330604246	-	1	0.07399059920923357
