experiment_id	chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
0	chr12	35192361	35192380	+	53.78	<>	3	20	0
1	chr2	48886252	48886271	-	53.7	<>	3	20	0
2	chr12	35192359	35192378	-	53.66	<>	3	20	0
3	chr8	102781112	102781131	-	53.5	<>	3	20	0
4	chr5	49961991	49962010	-	53.3	<>	3	20	0
5	chr9	26776356	26776375	-	53.12	<>	3	20	0
6	chr9	51152589	51152608	-	53.06	<>	3	20	0
7	chr8	58566264	58566283	+	52.88	<>	3	20	0
8	chr12	40837731	40837750	+	52.84	<>	3	20	0
9	chr8	36523116	36523135	-	52.5	<>	3	20	0
10	chr6	101261721	101261740	-	52.5	<>	3	20	0
11	chr11	57467954	57467973	-	52.38	<>	3	20	0
12	chr4	70621534	70621553	-	52.28	<>	3	20	0
13	chr2	101905952	101905971	+	52.25	<>	3	20	0
14	chr13	19698902	19698921	+	51.94	<>	3	20	0
15	chr16	13117402	13117421	+	51.94	<>	3	20	0
16	chr9	63136044	63136063	+	51.75	<>	3	20	0
17	chr12	92303369	92303388	+	51.62	<>	3	20	0
18	chr11	31949597	31949616	-	51.56	<>	3	20	0
19	chr9	49494116	49494135	+	51.2	<>	3	20	0
20	chr12	17554295	17554314	+	51.2	<>	3	20	0
21	chr9	88222169	88222188	-	51.16	<>	3	20	0
22	chr1	55404542	55404561	+	51.12	<>	3	20	0
23	chr12	57825931	57825950	+	51.06	<>	3	20	0
24	chr3	57843966	57843985	+	50.94	<>	3	20	0
25	chr16	22564764	22564783	+	50.8	<>	3	20	0
26	chr7	132213675	132213694	-	50.6	<>	3	20	0
27	chr16	72215914	72215933	-	50.38	<>	3	20	0
28	chr18	16217031	16217050	+	50.2	<>	3	20	0
29	chr11	113165297	113165316	-	50.12	<>	3	20	0
30	chr14	34810922	34810941	+	49.88	<>	3	20	0
31	chr17	83271677	83271696	+	49.25	<>	3	20	0
32	chr12	78056172	78056191	+	49.12	<>	3	20	0
33	chr16	89765679	89765698	-	49.0	<>	3	20	0
34	chr13	112264852	112264871	-	48.94	<>	3	20	0
35	chr13	112264855	112264874	-	48.88	<>	3	20	0
36	chr2	118638274	118638293	+	48.7	<>	3	20	0
37	chr15	32766466	32766485	-	48.47	<>	3	20	0
38	chr1	21411386	21411405	+	48.44	<>	3	20	0
39	chr6	43686121	43686140	+	48.3	<>	3	20	0
40	chr13	30260113	30260132	-	48.25	<>	3	20	0
41	chr9	60245108	60245127	+	47.97	<>	3	20	0
42	chr1	103799500	103799519	+	47.94	<>	3	20	0
43	chr7	86211545	86211564	-	47.94	<>	3	20	0
44	chr11	40149490	40149509	-	47.47	<>	3	20	0
45	chr11	25862970	25862989	-	47.2	<>	3	20	0
46	chr16	72218208	72218227	+	47.12	<>	3	20	0
47	chr15	44836383	44836402	+	47.12	<>	3	20	0
48	chr16	64748436	64748455	-	47.0	<>	3	20	0
49	chr3	14679375	14679394	+	46.8	<>	3	20	0
50	chr17	86906315	86906334	-	46.8	<>	3	20	0
51	chr18	57976796	57976815	+	46.8	<>	3	20	0
52	chr6	13281045	13281064	-	46.75	<>	3	20	0
53	chr12	17554309	17554328	-	46.62	<>	3	20	0
54	chr3	68056531	68056550	+	46.62	<>	3	20	0
55	chr3	9711102	9711121	+	46.56	<>	3	20	0
56	chr16	37109440	37109459	+	46.34	<>	3	20	0
57	chr16	96671788	96671807	-	46.06	<>	3	20	0
58	chr3	153655299	153655318	-	46.06	<>	3	20	0
59	chr18	58481865	58481884	-	45.88	<>	3	20	0
60	chr7	125393828	125393847	-	45.75	<>	3	20	0
61	chr16	25349805	25349824	-	45.62	<>	3	20	0
62	chr4	74231656	74231675	-	45.38	<>	3	20	0
63	chr4	74231658	74231677	+	45.22	<>	3	20	0
64	chr13	89543209	89543228	-	45.2	<>	3	20	0
65	chr1	179477243	179477262	-	45.0	<>	3	20	0
66	chr4	127368529	127368548	+	44.75	<>	3	20	0
67	chr3	25220803	25220822	-	44.62	<>	3	20	0
68	chr12	41487217	41487236	-	44.56	<>	3	20	0
69	chr14	102510621	102510640	-	44.4	<>	3	20	0
70	chr4	25180062	25180081	-	44.38	<>	3	20	0
71	chr3	31146116	31146135	+	44.2	<>	3	20	0
72	chr16	58299639	58299658	+	44.12	<>	3	20	0
73	chr5	16309782	16309801	+	43.94	<>	3	20	0
74	chr7	118102436	118102455	-	43.88	<>	3	20	0
75	chr5	16309780	16309799	-	43.75	<>	3	20	0
76	chr13	51830906	51830925	+	43.62	<>	3	20	0
77	chr6	100882571	100882590	+	43.6	<>	3	20	0
78	chr1	54381456	54381475	-	43.56	<>	3	20	0
79	chr7	143153991	143154010	+	43.38	<>	3	20	0
80	chr9	122729740	122729759	-	43.3	<>	3	20	0
81	chr2	113494885	113494904	+	43.2	<>	3	20	0
82	chr13	113877596	113877615	+	43.12	<>	3	20	0
83	chr12	74013946	74013965	-	43.12	<>	3	20	0
