chrom	start	end	span	score_2	strand_2	num_ctcf	log2_insulation_score_200000	boundary_strength_200000	boundary_index	index
chr1	4400000	4410000	4403267-4403286	803.0	-	2	-0.4258	1.014	0	0
chr1	4400000	4410000	4405891-4405910	834.0	+	2	-0.4258	1.014	0	1
chr1	4400000	4410000	4403267-4403286,4405891-4405910			2	-0.4258	1.014	0	2
chr1	4400000	4410000	4400000-4410000			2	-0.4258	1.014	0	3
chr1	4770000	4780000	4770055-4770074	974.0	+	10	-0.4893	1.003	1	4
chr1	4770000	4780000	4770180-4770199	833.0	-	10	-0.4893	1.003	1	5
chr1	4770000	4780000	4770867-4770886	816.0	+	10	-0.4893	1.003	1	6
chr1	4770000	4780000	4773435-4773454	815.0	+	10	-0.4893	1.003	1	7
chr1	4770000	4780000	4773687-4773706	853.0	-	10	-0.4893	1.003	1	8
chr1	4770000	4780000	4775739-4775758	802.0	+	10	-0.4893	1.003	1	9
chr1	4770000	4780000	4777268-4777287	821.0	-	10	-0.4893	1.003	1	10
chr1	4770000	4780000	4777427-4777446	802.0	-	10	-0.4893	1.003	1	11
chr1	4770000	4780000	4778565-4778584	830.0	-	10	-0.4893	1.003	1	12
chr1	4770000	4780000	4779494-4779513	854.0	+	10	-0.4893	1.003	1	13
chr1	4770000	4780000	4770055-4770074,4770180-4770199,4770867-4770886,4773435-4773454,4773687-4773706,4775739-4775758,4777268-4777287,4777427-4777446,4778565-4778584,4779494-4779513			10	-0.4893	1.003	1	14
chr1	4770000	4780000	4770000-4780000			10	-0.4893	1.003	1	15
chr1	5150000	5160000	5151521-5151540	822.0	+	3	-0.2319	0.498	2	16
chr1	5150000	5160000	5152333-5152352	810.0	+	3	-0.2319	0.498	2	17
chr1	5150000	5160000	5159008-5159027	828.0	+	3	-0.2319	0.498	2	18
chr1	5150000	5160000	5151521-5151540,5152333-5152352,5159008-5159027			3	-0.2319	0.498	2	19
chr1	5150000	5160000	5150000-5160000			3	-0.2319	0.498	2	20
chr1	5900000	5910000	5903132-5903151	834.0	+	4	-0.4043	0.8735	3	21
chr1	5900000	5910000	5905000-5905019	872.0	-	4	-0.4043	0.8735	3	22
chr1	5900000	5910000	5905410-5905429	814.0	+	4	-0.4043	0.8735	3	23
chr1	5900000	5910000	5905663-5905682	808.0	-	4	-0.4043	0.8735	3	24
chr1	5900000	5910000	5903132-5903151,5905000-5905019,5905410-5905429,5905663-5905682			4	-0.4043	0.8735	3	25
chr1	5900000	5910000	5900000-5910000			4	-0.4043	0.8735	3	26
chr1	6190000	6200000	6190724-6190743	849.0	-	5	-0.4524	0.9644	4	27
chr1	6190000	6200000	6191534-6191553	842.0	-	5	-0.4524	0.9644	4	28
chr1	6190000	6200000	6195874-6195893	858.0	-	5	-0.4524	0.9644	4	29
chr1	6190000	6200000	6196777-6196796	804.0	-	5	-0.4524	0.9644	4	30
chr1	6190000	6200000	6198521-6198540	833.0	+	5	-0.4524	0.9644	4	31
chr1	6190000	6200000	6190724-6190743,6191534-6191553,6195874-6195893,6196777-6196796,6198521-6198540			5	-0.4524	0.9644	4	32
chr1	6190000	6200000	6190000-6200000			5	-0.4524	0.9644	4	33
chr1	6430000	6440000	6430674-6430693	805.0	-	4	-0.388	0.391	5	34
chr1	6430000	6440000	6437442-6437461	805.0	-	4	-0.388	0.391	5	35
chr1	6430000	6440000	6438851-6438870	813.0	+	4	-0.388	0.391	5	36
chr1	6430000	6440000	6438904-6438923	857.0	-	4	-0.388	0.391	5	37
chr1	6430000	6440000	6430674-6430693,6437442-6437461,6438851-6438870,6438904-6438923			4	-0.388	0.391	5	38
chr1	6430000	6440000	6430000-6440000			4	-0.388	0.391	5	39
chr1	6980000	6990000	6981556-6981575	822.0	+	1	-0.4507	0.9487	6	40
chr1	6980000	6990000	6980000-6990000			1	-0.4507	0.9487	6	41
chr1	7230000	7240000	7236566-7236585	834.0	-	4	-0.316	0.5635	7	42
chr1	7230000	7240000	7236786-7236805	855.0	-	4	-0.316	0.5635	7	43
chr1	7230000	7240000	7237786-7237805	859.0	+	4	-0.316	0.5635	7	44
chr1	7230000	7240000	7238514-7238533	803.0	-	4	-0.316	0.5635	7	45
chr1	7230000	7240000	7236566-7236585,7236786-7236805,7237786-7237805,7238514-7238533			4	-0.316	0.5635	7	46
chr1	7230000	7240000	7230000-7240000			4	-0.316	0.5635	7	47
chr1	8960000	8970000	8961396-8961415	822.0	-	1	-0.04666	0.2793	8	48
chr1	8960000	8970000	8960000-8970000			1	-0.04666	0.2793	8	49
chr1	9540000	9550000	9541412-9541431	862.0	-	13	-0.555	1.08	9	50
chr1	9540000	9550000	9541425-9541444	829.0	+	13	-0.555	1.08	9	51
chr1	9540000	9550000	9541468-9541487	862.0	-	13	-0.555	1.08	9	52
chr1	9540000	9550000	9541481-9541500	819.0	+	13	-0.555	1.08	9	53
chr1	9540000	9550000	9542706-9542725	818.0	+	13	-0.555	1.08	9	54
chr1	9540000	9550000	9545333-9545352	899.0	-	13	-0.555	1.08	9	55
chr1	9540000	9550000	9546139-9546158	847.0	-	13	-0.555	1.08	9	56
chr1	9540000	9550000	9546407-9546426	811.0	+	13	-0.555	1.08	9	57
chr1	9540000	9550000	9546589-9546608	807.0	-	13	-0.555	1.08	9	58
chr1	9540000	9550000	9548558-9548577	809.0	+	13	-0.555	1.08	9	59
chr1	9540000	9550000	9548732-9548751	806.0	+	13	-0.555	1.08	9	60
chr1	9540000	9550000	9549166-9549185	894.0	+	13	-0.555	1.08	9	61
chr1	9540000	9550000	9549807-9549826	824.0	-	13	-0.555	1.08	9	62
chr1	9540000	9550000	9541412-9541431,9541425-9541444,9541468-9541487,9541481-9541500,9542706-9542725,9545333-9545352,9546139-9546158,9546407-9546426,9546589-9546608,9548558-9548577,9548732-9548751,9549166-9549185,9549807-9549826			13	-0.555	1.08	9	63
chr1	9540000	9550000	9540000-9550000			13	-0.555	1.08	9	64
chr1	9730000	9740000	9730787-9730806	805.0	+	5	-0.1791	0.3723	10	65
chr1	9730000	9740000	9730797-9730816	819.0	+	5	-0.1791	0.3723	10	66
chr1	9730000	9740000	9733764-9733783	803.0	-	5	-0.1791	0.3723	10	67
chr1	9730000	9740000	9737931-9737950	873.0	+	5	-0.1791	0.3723	10	68
chr1	9730000	9740000	9737969-9737988	800.0	-	5	-0.1791	0.3723	10	69
chr1	9730000	9740000	9730787-9730806,9730797-9730816,9733764-9733783,9737931-9737950,9737969-9737988			5	-0.1791	0.3723	10	70
chr1	9730000	9740000	9730000-9740000			5	-0.1791	0.3723	10	71
chr1	10220000	10230000	10221235-10221254	869.0	-	5	-0.585	1.062	11	72
chr1	10220000	10230000	10221351-10221370	807.0	+	5	-0.585	1.062	11	73
chr1	10220000	10230000	10224374-10224393	827.0	-	5	-0.585	1.062	11	74
chr1	10220000	10230000	10229100-10229119	847.0	+	5	-0.585	1.062	11	75
chr1	10220000	10230000	10229217-10229236	817.0	+	5	-0.585	1.062	11	76
chr1	10220000	10230000	10221235-10221254,10221351-10221370,10224374-10224393,10229100-10229119,10229217-10229236			5	-0.585	1.062	11	77
chr1	10220000	10230000	10220000-10230000			5	-0.585	1.062	11	78
chr1	10790000	10800000	10790204-10790223	827.0	-	2	-0.3474	0.6724	12	79
chr1	10790000	10800000	10799053-10799072	800.0	-	2	-0.3474	0.6724	12	80
chr1	10790000	10800000	10790204-10790223,10799053-10799072			2	-0.3474	0.6724	12	81
chr1	10790000	10800000	10790000-10800000			2	-0.3474	0.6724	12	82
chr1	11140000	11150000	11140104-11140123	853.0	-	5	-0.1472	0.397	13	83
chr1	11140000	11150000	11143079-11143098	834.0	-	5	-0.1472	0.397	13	84
chr1	11140000	11150000	11143840-11143859	805.0	-	5	-0.1472	0.397	13	85
chr1	11140000	11150000	11145411-11145430	802.0	+	5	-0.1472	0.397	13	86
chr1	11140000	11150000	11149106-11149125	813.0	+	5	-0.1472	0.397	13	87
chr1	11140000	11150000	11140104-11140123,11143079-11143098,11143840-11143859,11145411-11145430,11149106-11149125			5	-0.1472	0.397	13	88
chr1	11140000	11150000	11140000-11150000			5	-0.1472	0.397	13	89
chr1	11650000	11660000	11652958-11652977	804.0	+	2	-0.646	1.032	14	90
chr1	11650000	11660000	11657891-11657910	927.0	+	2	-0.646	1.032	14	91
chr1	11650000	11660000	11652958-11652977,11657891-11657910			2	-0.646	1.032	14	92
chr1	11650000	11660000	11650000-11660000			2	-0.646	1.032	14	93
chr1	12840000	12850000	12842804-12842823	808.0	-	6	-0.512	0.806	15	94
chr1	12840000	12850000	12842860-12842879	829.0	-	6	-0.512	0.806	15	95
chr1	12840000	12850000	12843776-12843795	802.0	-	6	-0.512	0.806	15	96
chr1	12840000	12850000	12844004-12844023	871.0	+	6	-0.512	0.806	15	97
