boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end	seq_id	boSCD_m1	dotSCD_m1	dot-score_m1	cross-score_m1	x-score_m1	boSCD_m2	dotSCD_m2	dot-score_m2	cross-score_m2	x-score_m2
0	chr1	4410000	0	2	4403267-4403286	4400000	-	4403267	4403286	0	1.83740234375	2.558349609375	0.141705322265625	-6.721615791320801e-05	-0.000417327880859375	2.75703125	2.6376953125	0.09292678833007813	-3.1894445419311525e-05	-0.0007620811462402344
1	chr1	4780000	4	10	4770055-4770074	4770000	+	4770055	4770074	1	57.490625	56.521875	10.3890625	0.61455078125	0.8393310546875	45.271875	49.80625	9.0353515625	0.55718994140625	0.744580078125
1	chr1	4780000	5	10	4770180-4770199	4770000	-	4770180	4770199	2	0.183184814453125	0.171673583984375	0.16063003540039061	0.00015934109687805177	-0.0001744389533996582	0.1694091796875	0.148956298828125	0.122576904296875	0.0003883004188537598	0.0004767179489135742
1	chr1	4780000	6	10	4770867-4770886	4770000	+	4770867	4770886	3	0.22056884765625	0.2075439453125	0.16094436645507812	0.0001826763153076172	-0.0001353919506072998	0.165838623046875	0.16737060546875	0.12231292724609374	0.0003713250160217285	0.0004805684089660645
1	chr1	4780000	7	10	4773435-4773454	4770000	+	4773435	4773454	4	0.426611328125	0.4568359375	0.15855178833007813	7.597208023071289e-05	-0.0002577483654022217	0.195989990234375	0.303076171875	0.11894989013671875	0.00017383694648742676	0.00019762516021728515
1	chr1	4780000	9	10	4775739-4775758	4770000	+	4775739	4775758	5	0.54271240234375	0.5870849609375	0.15821609497070313	0.00011079907417297364	-0.00018308758735656737	0.7985107421875	0.4980224609375	0.11784210205078124	0.00023829936981201172	0.00019078254699707032
1	chr1	4780000	10	10	4777268-4777287	4770000	-	4777268	4777287	6	5.803515625	3.669921875	0.1301116943359375	0.00016682744026184083	-0.0002329409122467041	2.8794921875	2.89482421875	0.07915573120117188	-0.0007108330726623535	-0.001810312271118164
1	chr1	4780000	11	10	4777427-4777446	4770000	-	4777427	4777446	7	0.59359130859375	0.692431640625	0.15786514282226563	0.00011513829231262207	-0.00016745924949645996	0.757421875	0.564306640625	0.11502532958984375	0.00013912320137023925	1.1086463928222657e-06
3	chr1	5910000	22	4	5905000-5905019	5900000	-	5905000	5905019	8	54.215625	51.69375	7.29150390625	0.433929443359375	0.585882568359375	47.6671875	50.328125	7.350390625	0.4336181640625	0.589208984375
3	chr1	5910000	23	4	5905410-5905429	5900000	+	5905410	5905429	9	0.33687744140625	0.28839111328125	0.16098556518554688	0.00023632049560546876	-4.381537437438965e-05	0.192083740234375	0.22540283203125	0.12157440185546875	0.00037798285484313965	0.0004609227180480957
3	chr1	5910000	24	4	5905663-5905682	5900000	-	5905663	5905682	10	0.45826416015625	0.2565185546875	0.16046066284179689	0.00018311142921447753	-0.00013727545738220214	0.208837890625	0.183575439453125	0.1214599609375	0.0003411591053009033	0.0004589676856994629
4	chr1	6200000	27	5	6190724-6190743	6190000	-	6190724	6190743	11	12.40234375	12.1265625	0.108416748046875	0.0007807850837707519	0.0008843421936035156	11.44296875	8.565234375	0.059649658203125	-0.0005350828170776368	-0.001172107458114624
4	chr1	6200000	28	5	6191534-6191553	6190000	-	6191534	6191553	12	0.360595703125	0.40401611328125	0.16055908203125	0.00016216635704040526	-0.00013533234596252441	0.25411376953125	0.17972412109375	0.12054595947265626	0.0003461301326751709	0.00044069290161132815
4	chr1	6200000	29	5	6195874-6195893	6190000	-	6195874	6195893	13	0.38466796875	0.5529296875	0.15798263549804686	8.599162101745606e-05	-0.00024058818817138672	0.186309814453125	0.225604248046875	0.12050628662109375	0.0002848029136657715	0.00037790536880493163
9	chr1	9550000	55	13	9545333-9545352	9540000	-	9545333	9545352	14	47.909375	48.2265625	6.89130859375	0.4197998046875	0.5628662109375	32.253125	43.2796875	5.9853515625	0.3717529296875	0.49547119140625
