boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end
0	chr1	4410000	0	2	4403267-4403286	4400000	-	4403267	4403286
1	chr1	4780000	4	10	4770055-4770074	4770000	+	4770055	4770074
1	chr1	4780000	5	10	4770180-4770199	4770000	-	4770180	4770199
1	chr1	4780000	6	10	4770867-4770886	4770000	+	4770867	4770886
1	chr1	4780000	7	10	4773435-4773454	4770000	+	4773435	4773454
1	chr1	4780000	9	10	4775739-4775758	4770000	+	4775739	4775758
1	chr1	4780000	10	10	4777268-4777287	4770000	-	4777268	4777287
1	chr1	4780000	11	10	4777427-4777446	4770000	-	4777427	4777446
3	chr1	5910000	22	4	5905000-5905019	5900000	-	5905000	5905019
3	chr1	5910000	23	4	5905410-5905429	5900000	+	5905410	5905429
3	chr1	5910000	24	4	5905663-5905682	5900000	-	5905663	5905682
4	chr1	6200000	27	5	6190724-6190743	6190000	-	6190724	6190743
4	chr1	6200000	28	5	6191534-6191553	6190000	-	6191534	6191553
4	chr1	6200000	29	5	6195874-6195893	6190000	-	6195874	6195893
9	chr1	9550000	55	13	9545333-9545352	9540000	-	9545333	9545352
9	chr1	9550000	56	13	9546139-9546158	9540000	-	9546139	9546158
9	chr1	9550000	57	13	9546407-9546426	9540000	+	9546407	9546426
9	chr1	9550000	58	13	9546589-9546608	9540000	-	9546589	9546608
9	chr1	9550000	59	13	9548558-9548577	9540000	+	9548558	9548577
9	chr1	9550000	60	13	9548732-9548751	9540000	+	9548732	9548751
9	chr1	9550000	61	13	9549166-9549185	9540000	+	9549166	9549185
9	chr1	9550000	62	13	9549807-9549826	9540000	-	9549807	9549826
11	chr1	10230000	75	5	10229100-10229119	10220000	+	10229100	10229119
11	chr1	10230000	76	5	10229217-10229236	10220000	+	10229217	10229236
13	chr1	11150000	83	5	11140104-11140123	11140000	-	11140104	11140123
13	chr1	11150000	85	5	11143840-11143859	11140000	-	11143840	11143859
13	chr1	11150000	86	5	11145411-11145430	11140000	+	11145411	11145430
13	chr1	11150000	87	5	11149106-11149125	11140000	+	11149106	11149125
