out_folder	locus_specification	shuffle_parameter	mutation_method	ctcf_selection_threshold	map_score_threshold	GC_content
data	chr1,62738432,64049152	2	permute_whole_seq	5	5500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	5	6000	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	5	6500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	8	5500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	8	6000	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	8	6500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	12	5500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	12	6000	0.4233421325683594
data	chr1,62738432,64049152	2	permute_whole_seq	12	6500	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	5	5500	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	5	6000	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	5	6500	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	8	5500	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	8	6000	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	8	6500	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	12	5500	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	12	6000	0.4233421325683594
data	chr1,62738432,64049152	2	mask_motif	12	6500	0.4233421325683594
data	chr1,62738432,64049152	2	random	5	5500	0.4233421325683594
data	chr1,62738432,64049152	2	random	5	6000	0.4233421325683594
data	chr1,62738432,64049152	2	random	5	6500	0.4233421325683594
data	chr1,62738432,64049152	2	random	8	5500	0.4233421325683594
data	chr1,62738432,64049152	2	random	8	6000	0.4233421325683594
data	chr1,62738432,64049152	2	random	8	6500	0.4233421325683594
data	chr1,62738432,64049152	2	random	12	5500	0.4233421325683594
data	chr1,62738432,64049152	2	random	12	6000	0.4233421325683594
data	chr1,62738432,64049152	2	random	12	6500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	5	5500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	5	6000	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	5	6500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	8	5500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	8	6000	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	8	6500	0.4233421325683594
