shuffle_parameter	ctcf_detection_threshold	mutation_method	locus_specification	GC_content
1	8	permute_whole_seq	chr3,142604288,143915008	0.3618461608886719
1	8	permute_whole_seq	chr14,90988544,92299264	0.362066650390625
1	8	permute_whole_seq	chr18,47454208,48764928	0.3622123718261719
1	8	permute_whole_seq	chr15,21833728,23144448	0.3625053405761719
1	8	permute_whole_seq	chr5,114972672,116283392	0.3627922058105469
1	8	permute_whole_seq	chr2,38332416,39643136	0.3630241394042969
1	8	permute_whole_seq	chr3,82317312,83628032	0.363214111328125
1	8	permute_whole_seq	chr19,17924096,19234816	0.3634971618652344
1	8	permute_whole_seq	chr2,75831296,77142016	0.36371841430664065
1	8	permute_whole_seq	chr16,43200512,44511232	0.3639549255371094
1	8	permute_whole_seq	chr13,104599552,105910272	0.36419677734375
1	8	permute_whole_seq	chr8,86132736,87443456	0.36442031860351565
1	8	permute_whole_seq	chr8,97929216,99239936	0.3646705627441406
1	8	permute_whole_seq	chr1,133017600,134328320	0.36490707397460936
1	8	permute_whole_seq	chr4,27912192,29222912	0.3651420593261719
1	8	permute_whole_seq	chr12,41506816,42817536	0.3653526306152344
1	8	permute_whole_seq	chr14,15216640,16527360	0.36559600830078126
1	8	permute_whole_seq	chr13,110497792,111808512	0.3657844543457031
1	8	permute_whole_seq	chr8,45010944,46321664	0.3660728454589844
1	8	permute_whole_seq	chr8,114065408,115376128	0.3663139343261719
1	8	permute_whole_seq	chr1,27054080,28364800	0.36656036376953127
1	8	permute_whole_seq	chr8,17774592,19085312	0.36676177978515623
1	8	permute_whole_seq	chr18,51986432,53297152	0.36702880859375
1	8	permute_whole_seq	chr14,118601728,119912448	0.36722335815429685
1	8	permute_whole_seq	chr12,63123456,64434176	0.3674919128417969
1	8	permute_whole_seq	chr3,153417728,154728448	0.3676780700683594
1	8	permute_whole_seq	chr6,87777280,89088000	0.367962646484375
1	8	permute_whole_seq	chr14,32520192,33830912	0.3681976318359375
1	8	permute_whole_seq	chr2,124135424,125446144	0.36838226318359374
1	8	permute_whole_seq	chr2,117581824,118892544	0.36866607666015627
1	8	permute_whole_seq	chr5,101070848,102381568	0.3688941955566406
1	8	permute_whole_seq	chrX,162957312,164268032	0.36913909912109377
1	8	permute_whole_seq	chr10,14784512,16095232	0.36937942504882815
1	8	permute_whole_seq	chr11,19032064,20342784	0.369610595703125
1	8	permute_whole_seq	chr11,89073664,90384384	0.3698448181152344
1	8	permute_whole_seq	chr8,76333056,77643776	0.3700889587402344
1	8	permute_whole_seq	chr19,28493824,29804544	0.3701484680175781
1	8	permute_whole_seq	chr6,64505856,65816576	0.3705535888671875
1	8	permute_whole_seq	chr11,60674048,61984768	0.37073516845703125
1	8	permute_whole_seq	chr10,26816512,28127232	0.37102584838867186
1	8	permute_whole_seq	chr14,66856960,68167680	0.3712471008300781
1	8	permute_whole_seq	chr1,40415232,41725952	0.37146530151367185
1	8	permute_whole_seq	chr17,78891008,80201728	0.37172470092773435
1	8	permute_whole_seq	chr11,10039296,11350016	0.37197113037109375
1	8	permute_whole_seq	chr16,53358592,54669312	0.3721961975097656
1	8	permute_whole_seq	chr4,52039680,53350400	0.3724479675292969
1	8	permute_whole_seq	chr11,24930304,26241024	0.3726806640625
1	8	permute_whole_seq	chr2,101761024,103071744	0.3729034423828125
1	8	permute_whole_seq	chr3,18497536,19808256	0.37313079833984375
1	8	permute_whole_seq	chr16,94130176,95440896	0.37335357666015623
1	8	permute_whole_seq	chr10,67708928,69019648	0.3736083984375
1	8	permute_whole_seq	chrX,168200192,169510912	0.37381591796875
1	8	permute_whole_seq	chr4,26601472,27912192	0.37406768798828127
1	8	permute_whole_seq	chr18,41883648,43194368	0.3742777818891769
1	8	permute_whole_seq	chr19,57186304,58497024	0.37454071044921877
1	8	permute_whole_seq	chr13,53512192,54822912	0.37479324340820314
1	8	permute_whole_seq	chr12,48279552,49590272	0.37503738403320314
1	8	permute_whole_seq	chr10,71641088,72951808	0.37520751953125
1	8	permute_whole_seq	chr3,5294080,6604800	0.3755096435546875
1	8	permute_whole_seq	chr4,101842944,103153664	0.3757354736328125
1	8	permute_whole_seq	chr15,92362752,93673472	0.37596817016601564
1	8	permute_whole_seq	chr14,83124224,84434944	0.376214599609375
1	8	permute_whole_seq	chr18,55263232,56573952	0.3764213562011719
1	8	permute_whole_seq	chr10,62793728,64104448	0.3766693115234375
1	8	permute_whole_seq	chr18,55590912,56901632	0.37691574096679686
1	8	permute_whole_seq	chr15,87775232,89085952	0.37714157104492185
1	8	permute_whole_seq	chr18,52641792,53952512	0.3773765563964844
1	8	permute_whole_seq	chr17,62179328,63490048	0.37754058837890625
1	8	permute_whole_seq	chr16,96751616,98062336	0.3778533935546875
1	8	permute_whole_seq	chr16,45494272,46804992	0.3780815124511719
1	8	permute_whole_seq	chr10,72951808,74262528	0.3783355712890625
1	8	permute_whole_seq	chr12,6410240,7720960	0.37854995727539065
1	8	permute_whole_seq	chr9,62740480,64051200	0.3788017272949219
1	8	permute_whole_seq	chr13,15415296,16726016	0.3790245056152344
1	8	permute_whole_seq	chr11,55803904,57114624	0.379266357421875
1	8	permute_whole_seq	chr3,59891712,61202432	0.37950439453125
1	8	permute_whole_seq	chr15,39866368,41177088	0.3797271728515625
1	8	permute_whole_seq	chr9,24555520,25866240	0.37996902465820315
1	8	permute_whole_seq	chr3,44910592,46221312	0.3802146911621094
1	8	permute_whole_seq	chr1,59461632,60772352	0.3804512023925781
1	8	permute_whole_seq	chr6,6905856,8216576	0.3806144714355469
1	8	permute_whole_seq	chr19,16285696,17596416	0.38091278076171875
1	8	permute_whole_seq	chr13,25608192,26918912	0.38115692138671875
1	8	permute_whole_seq	chr4,17311744,18622464	0.3813507080078125
1	8	permute_whole_seq	chr4,106102784,107413504	0.38162689208984374
1	8	permute_whole_seq	chr4,154658816,155969536	0.3818626403808594
1	8	permute_whole_seq	chrX,84908032,86218752	0.3820991516113281
1	8	permute_whole_seq	chr3,40650752,41961472	0.3823219299316406
