out_folder	locus_specification	shuffle_parameter	ctcf_selection_threshold	mutation_method	GC_content
data	chr1,143779840,145090560	2	4	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	2	4	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	2	4	mask_motif	0.380499267578125
data	chr1,143779840,145090560	2	4	permute_motif	0.380499267578125
data	chr1,143779840,145090560	2	4	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	2	8	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	2	8	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	2	8	mask_motif	0.380499267578125
data	chr1,143779840,145090560	2	8	permute_motif	0.380499267578125
data	chr1,143779840,145090560	2	8	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	2	12	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	2	12	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	2	12	mask_motif	0.380499267578125
data	chr1,143779840,145090560	2	12	permute_motif	0.380499267578125
data	chr1,143779840,145090560	2	12	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	4	4	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	4	4	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	4	4	mask_motif	0.380499267578125
data	chr1,143779840,145090560	4	4	permute_motif	0.380499267578125
data	chr1,143779840,145090560	4	4	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	4	8	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	4	8	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	4	8	mask_motif	0.380499267578125
data	chr1,143779840,145090560	4	8	permute_motif	0.380499267578125
data	chr1,143779840,145090560	4	8	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	4	12	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	4	12	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	4	12	mask_motif	0.380499267578125
data	chr1,143779840,145090560	4	12	permute_motif	0.380499267578125
data	chr1,143779840,145090560	4	12	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	8	4	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	8	4	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	8	4	mask_motif	0.380499267578125
data	chr1,143779840,145090560	8	4	permute_motif	0.380499267578125
data	chr1,143779840,145090560	8	4	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	8	8	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	8	8	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	8	8	mask_motif	0.380499267578125
data	chr1,143779840,145090560	8	8	permute_motif	0.380499267578125
data	chr1,143779840,145090560	8	8	randomise_motif	0.380499267578125
data	chr1,143779840,145090560	8	12	permute_whole_seq	0.380499267578125
data	chr1,143779840,145090560	8	12	randomise_whole_seq	0.380499267578125
data	chr1,143779840,145090560	8	12	mask_motif	0.380499267578125
data	chr1,143779840,145090560	8	12	permute_motif	0.380499267578125
data	chr1,143779840,145090560	8	12	randomise_motif	0.380499267578125
data	chr3,118448128,119758848	2	4	permute_whole_seq	0.38046875
data	chr3,118448128,119758848	2	4	randomise_whole_seq	0.38046875
data	chr3,118448128,119758848	2	4	mask_motif	0.38046875
