chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
chr12	35192361	35192380	+	53.78	><	0	20	99980
chr2	48886252	48886271	-	53.7	><	0	20	99980
chr12	35192359	35192378	-	53.66	><	0	20	99980
chr8	102781112	102781131	-	53.5	><	0	20	99980
chr5	49961991	49962010	-	53.3	><	0	20	99980
chr9	26776356	26776375	-	53.12	><	0	20	99980
chr9	51152589	51152608	-	53.06	><	0	20	99980
chr8	58566264	58566283	+	52.88	><	0	20	99980
chr12	40837731	40837750	+	52.84	><	0	20	99980
chr6	101261721	101261740	-	52.5	><	0	20	99980
chr11	57467954	57467973	-	52.38	><	0	20	99980
chr4	70621534	70621553	-	52.28	><	0	20	99980
chr2	101905952	101905971	+	52.25	><	0	20	99980
chr13	19698902	19698921	+	51.94	><	0	20	99980
chr9	63136044	63136063	+	51.75	><	0	20	99980
chr12	92303369	92303388	+	51.62	><	0	20	99980
chr11	31949597	31949616	-	51.56	><	0	20	99980
chr9	49494116	49494135	+	51.2	><	0	20	99980
chr9	88222169	88222188	-	51.16	><	0	20	99980
chr1	55404542	55404561	+	51.12	><	0	20	99980
chr12	57825931	57825950	+	51.06	><	0	20	99980
chr3	57843966	57843985	+	50.94	><	0	20	99980
chr16	22564764	22564783	+	50.8	><	0	20	99980
chr7	132213675	132213694	-	50.6	><	0	20	99980
chr16	72215914	72215933	-	50.38	><	0	20	99980
chr12	35192361	35192380	+	53.78	><	1	20	99980
chr2	48886252	48886271	-	53.7	><	1	20	99980
chr12	35192359	35192378	-	53.66	><	1	20	99980
chr8	102781112	102781131	-	53.5	><	1	20	99980
chr5	49961991	49962010	-	53.3	><	1	20	99980
chr9	26776356	26776375	-	53.12	><	1	20	99980
chr9	51152589	51152608	-	53.06	><	1	20	99980
chr8	58566264	58566283	+	52.88	><	1	20	99980
chr12	40837731	40837750	+	52.84	><	1	20	99980
chr6	101261721	101261740	-	52.5	><	1	20	99980
chr11	57467954	57467973	-	52.38	><	1	20	99980
chr4	70621534	70621553	-	52.28	><	1	20	99980
chr2	101905952	101905971	+	52.25	><	1	20	99980
chr13	19698902	19698921	+	51.94	><	1	20	99980
chr9	63136044	63136063	+	51.75	><	1	20	99980
chr12	92303369	92303388	+	51.62	><	1	20	99980
chr11	31949597	31949616	-	51.56	><	1	20	99980
chr9	49494116	49494135	+	51.2	><	1	20	99980
chr9	88222169	88222188	-	51.16	><	1	20	99980
chr1	55404542	55404561	+	51.12	><	1	20	99980
chr12	57825931	57825950	+	51.06	><	1	20	99980
chr3	57843966	57843985	+	50.94	><	1	20	99980
chr16	22564764	22564783	+	50.8	><	1	20	99980
chr7	132213675	132213694	-	50.6	><	1	20	99980
chr16	72215914	72215933	-	50.38	><	1	20	99980
chr12	35192361	35192380	+	53.78	><	2	20	99980
chr2	48886252	48886271	-	53.7	><	2	20	99980
chr12	35192359	35192378	-	53.66	><	2	20	99980
chr8	102781112	102781131	-	53.5	><	2	20	99980
chr5	49961991	49962010	-	53.3	><	2	20	99980
chr9	26776356	26776375	-	53.12	><	2	20	99980
chr9	51152589	51152608	-	53.06	><	2	20	99980
chr8	58566264	58566283	+	52.88	><	2	20	99980
chr12	40837731	40837750	+	52.84	><	2	20	99980
chr6	101261721	101261740	-	52.5	><	2	20	99980
chr11	57467954	57467973	-	52.38	><	2	20	99980
chr4	70621534	70621553	-	52.28	><	2	20	99980
chr2	101905952	101905971	+	52.25	><	2	20	99980
chr13	19698902	19698921	+	51.94	><	2	20	99980
chr9	63136044	63136063	+	51.75	><	2	20	99980
chr12	92303369	92303388	+	51.62	><	2	20	99980
chr11	31949597	31949616	-	51.56	><	2	20	99980
chr9	49494116	49494135	+	51.2	><	2	20	99980
chr9	88222169	88222188	-	51.16	><	2	20	99980
chr1	55404542	55404561	+	51.12	><	2	20	99980
chr12	57825931	57825950	+	51.06	><	2	20	99980
chr3	57843966	57843985	+	50.94	><	2	20	99980
chr16	22564764	22564783	+	50.8	><	2	20	99980
chr7	132213675	132213694	-	50.6	><	2	20	99980
chr16	72215914	72215933	-	50.38	><	2	20	99980
chr12	35192361	35192380	+	53.78	><	3	20	99980
chr2	48886252	48886271	-	53.7	><	3	20	99980
chr12	35192359	35192378	-	53.66	><	3	20	99980
chr8	102781112	102781131	-	53.5	><	3	20	99980
chr5	49961991	49962010	-	53.3	><	3	20	99980
chr9	26776356	26776375	-	53.12	><	3	20	99980
chr9	51152589	51152608	-	53.06	><	3	20	99980
chr8	58566264	58566283	+	52.88	><	3	20	99980
chr12	40837731	40837750	+	52.84	><	3	20	99980
chr6	101261721	101261740	-	52.5	><	3	20	99980
chr11	57467954	57467973	-	52.38	><	3	20	99980
chr4	70621534	70621553	-	52.28	><	3	20	99980
chr2	101905952	101905971	+	52.25	><	3	20	99980
chr13	19698902	19698921	+	51.94	><	3	20	99980
chr9	63136044	63136063	+	51.75	><	3	20	99980
chr12	92303369	92303388	+	51.62	><	3	20	99980
chr11	31949597	31949616	-	51.56	><	3	20	99980
chr9	49494116	49494135	+	51.2	><	3	20	99980
chr9	88222169	88222188	-	51.16	><	3	20	99980
chr1	55404542	55404561	+	51.12	><	3	20	99980
chr12	57825931	57825950	+	51.06	><	3	20	99980
chr3	57843966	57843985	+	50.94	><	3	20	99980
chr16	22564764	22564783	+	50.8	><	3	20	99980
chr7	132213675	132213694	-	50.6	><	3	20	99980
chr16	72215914	72215933	-	50.38	><	3	20	99980
chr12	35192361	35192380	+	53.78	><	4	20	99980
chr2	48886252	48886271	-	53.7	><	4	20	99980
chr12	35192359	35192378	-	53.66	><	4	20	99980
chr8	102781112	102781131	-	53.5	><	4	20	99980
chr5	49961991	49962010	-	53.3	><	4	20	99980
chr9	26776356	26776375	-	53.12	><	4	20	99980
chr9	51152589	51152608	-	53.06	><	4	20	99980
chr8	58566264	58566283	+	52.88	><	4	20	99980
chr12	40837731	40837750	+	52.84	><	4	20	99980
chr6	101261721	101261740	-	52.5	><	4	20	99980
chr11	57467954	57467973	-	52.38	><	4	20	99980
chr4	70621534	70621553	-	52.28	><	4	20	99980
chr2	101905952	101905971	+	52.25	><	4	20	99980
