# GimmeMotifs version 0.17.1
# Input: gimme.test/generated_background.gc.fa
# Motifs: gimme.test/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2	GimmeMotifs_3	GimmeMotifs_4	GimmeMotifs_5	GimmeMotifs_6	GimmeMotifs_7	GimmeMotifs_8	GimmeMotifs_9	GimmeMotifs_10	GimmeMotifs_11
chr13:86300700-86300900	0.166581	0.016923	0.774180	-1.034623	0.020547	-1.447551	0.311357	0.050119	0.617254	0.517235	0.556746
chr5:148082300-148082500	-0.745162	-0.133757	0.922411	0.820879	-0.366833	0.729962	-0.166611	1.062483	1.822181	0.060867	-0.506723
chr22:18238600-18238800	1.296404	-0.456491	0.126703	0.381151	0.797419	0.620946	-1.140545	-0.372719	1.822181	0.641750	2.344950
chr1:102803400-102803600	-1.018318	0.434894	0.259215	1.608409	-0.686437	0.319609	0.178871	-0.135600	-0.444546	1.918275	-0.506723
chr6:66769400-66769600	0.455990	0.410413	1.873367	1.590510	-0.056254	0.430396	0.389887	2.579595	0.617254	0.813486	-0.393811
chr5:24423700-24423900	1.043599	1.748521	0.611286	0.307788	0.964948	-1.337144	0.012039	3.533108	1.965308	0.669550	-0.393811
chr4:115499500-115499700	0.203184	-0.140238	0.986176	1.381423	0.269926	0.734419	-0.318315	1.702615	3.027108	0.762932	0.556746
chr3:164455800-164456000	0.182834	1.197493	0.100755	1.025511	0.047078	0.734419	1.040170	-0.581586	1.822181	1.041473	0.330923
chr8:36878800-36879000	1.085106	-0.371351	0.734388	0.579032	-0.076600	-1.405959	-0.587783	2.301083	0.617254	-0.021085	1.168569
chr5:21739900-21740100	0.013044	-0.520550	0.064059	0.358892	1.067143	0.430396	-0.291233	0.005257	0.760381	-0.871144	1.281481
chr5:60667500-60667700	-1.038668	0.224166	0.294745	-2.095998	1.648905	-1.447551	-0.582857	-1.534302	-1.649473	-0.834680	-0.506723
chr14:43269300-43269500	0.873809	0.711291	1.362927	1.160924	-0.886257	0.662538	-0.455797	-1.337692	3.027108	2.174822	0.669658
chr3:145273200-145273400	-1.080176	0.748490	-0.186300	0.046027	1.872417	-1.677189	-0.427134	0.372496	-0.444546	-0.662781	-0.393811
chr13:78487800-78488000	-1.031885	-0.373627	-0.281172	-0.493512	0.542011	0.688370	0.377664	-0.083642	0.617254	-0.843975	-0.619634
chr2:171819200-171819400	-0.891915	-0.894706	-1.411912	-0.472453	-2.071828	-1.405959	-1.190084	-1.282224	-1.649473	0.052064	-2.182015
chr5:141025000-141025200	1.098674	0.905322	1.092989	0.915337	-0.164331	0.666995	0.514532	0.298090	0.760381	0.617749	0.443835
chr9:110737300-110737500	-0.547431	0.051292	0.073872	-0.200117	0.021212	0.734419	0.484170	0.227265	0.617254	0.034557	1.394392
chr4:58921900-58922100	0.818734	-0.842423	-1.047759	-0.380933	-1.725303	0.688370	-0.830286	-1.163790	-1.792600	-0.110638	-1.344369
