# GimmeMotifs version 0.17.1
# Input: gimme.test/generated_background.gc.fa
# Motifs: gimme.test/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2
chr3:180665800-180666000	0.901216	0.228802
chr14:60067200-60067400	-0.458295	0.753427
chr13:76276700-76276900	2.099239	-0.595294
chr2:19962700-19962900	0.739728	0.952665
chr12:132165600-132165800	0.739728	-0.038493
chr8:42591400-42591600	1.062705	1.371281
chr4:135129200-135129400	0.901216	0.212119
chr14:26478800-26479000	-0.458295	1.176474
chr9:118821600-118821800	-0.458295	0.126510
chr11:74509800-74510000	0.739728	0.469992
chr15:59963500-59963700	-0.296807	1.080959
chr3:21143400-21143600	0.739728	-0.595294
chrY:21438000-21438200	1.062705	1.998247
chr5:117074100-117074300	0.739728	-0.712150
chr9:110701600-110701800	-0.458295	1.737166
chr4:64474400-64474600	-0.458295	-0.204095
chr4:66485500-66485700	-0.458295	1.565526
chr2:146932200-146932400	0.901216	-0.853559
chr8:29128000-29128200	-0.296807	-1.053064
chrX:143654700-143654900	-0.619784	-0.194471
chr13:20927900-20928100	0.739728	-1.282793
chr5:109099500-109099700	0.901216	0.599893
chr2:107565200-107565400	2.099239	0.085518
chr7:35632000-35632200	0.739728	-0.595294
chr1:144856100-144856300	-0.458295	0.675582
chr6:23801500-23801700	-0.619784	-1.080507
chr9:77317700-77317900	0.901216	0.954119
chr4:80864400-80864600	-0.619784	0.728958
chr21:15575100-15575300	0.739728	0.091755
chr12:26676700-26676900	-0.619784	0.259233
chr9:87437900-87438100	-1.817807	-0.288873
chr10:16093300-16093500	0.901216	0.529217
chr13:70650100-70650300	0.739728	-0.126534
chr3:8074000-8074200	-0.458295	-0.023833
chr1:239015200-239015400	-0.296807	0.970759
chr11:82372900-82373100	-0.458295	-0.157160
chr4:140945500-140945700	-0.619784	1.130144
chr12:78099200-78099400	-1.656318	-0.015971
chr3:172962800-172963000	-0.296807	0.497302
chr9:88434200-88434400	-0.619784	0.755798
chr7:9015300-9015500	0.739728	0.125914
chr6:55262500-55262700	-0.458295	-1.669836
chr5:69879200-69879400	-0.458295	-0.022916
chrY:636400-636600	0.901216	-0.595294
chr21:19743100-19743300	-0.296807	1.774111
chr8:111356700-111356900	-0.619784	1.446660
chrX:112485400-112485600	-1.656318	-2.012893
chr18:44544600-44544800	2.099239	-0.595294
chr14:87053700-87053900	0.739728	-0.027259
chrY:573300-573500	0.739728	-0.755103
chr2:12123100-12123300	-1.817807	-2.486403
chrX:150520800-150521000	-0.296807	-0.707194
chr11:50177800-50178000	-1.817807	-2.356502
chr4:143507100-143507300	-0.619784	0.361329
chr5:145373700-145373900	-1.817807	-1.706794
chr1:195408100-195408300	2.099239	1.737124
chr13:87774200-87774400	-0.458295	-1.070842
chr9:16888700-16888900	-0.619784	0.053112
chr12:5610400-5610600	-0.458295	-1.265105
chr5:98373000-98373200	-0.458295	-0.682373
chr9:94560600-94560800	-0.458295	2.225506
chr8:6505500-6505700	0.739728	0.405598
chr7:110878300-110878500	-0.458295	1.560303
chr3:66724800-66725000	-0.458295	-0.815700
chr4:187642100-187642300	2.099239	0.456157
chr8:105877500-105877700	-0.619784	-2.285467
chr8:143749000-143749200	0.739728	-0.595294
chr15:65801900-65802100	2.260728	-0.092171
chr3:113081500-113081700	0.739728	-0.461967
chr11:82372800-82373000	-0.458295	-0.595294
chr13:76318400-76318600	-0.619784	-0.226586
chr13:83588100-83588300	0.739728	0.942895
chr4:10654200-10654400	-0.619784	-0.355822
chr2:239507500-239507700	0.739728	0.603131
chrX:20300300-20300500	0.739728	-0.069565
chr8:119726700-119726900	2.099239	0.030337
chr4:137053900-137054100	0.739728	0.208625
chrX:63595300-63595500	-0.458295	0.791761
chr17:70818200-70818400	0.739728	-1.669836
chr6:101520200-101520400	-0.619784	1.101970
chr5:20501300-20501500	0.739728	1.029890
chr7:121860300-121860500	-1.817807	0.633303
chr6:105023100-105023300	0.739728	0.322109
chrY:6688500-6688700	0.901216	-0.488932
chr5:145741600-145741800	0.739728	0.219579
chr4:32073100-32073300	0.739728	-1.319170
chr2:181310700-181310900	0.739728	0.160575
chr13:84239700-84239900	-0.458295	-1.161079
chr6:134013300-134013500	0.739728	-1.302893
chr20:59110700-59110900	-0.458295	-0.863373
chr3:42560100-42560300	-0.619784	0.332566
chr11:42065200-42065400	-0.296807	-0.804402
chr8:15457700-15457900	-0.619784	-1.019458
chrY:3896700-3896900	1.224194	-1.016973
chr14:47000300-47000500	0.739728	-0.314933
chr5:135806300-135806500	-0.458295	-1.442274
chr3:96022000-96022200	-0.458295	1.501407
chr8:64497700-64497900	0.739728	0.086252
chr10:34408100-34408300	0.739728	0.335087
chr4:132957800-132958000	0.739728	-0.243304
chr17:8267900-8268100	2.099239	1.418667
chr3:159909300-159909500	-0.458295	-0.404585
chr7:147084500-147084700	-0.619784	-0.936739
chr1:63053700-63053900	0.739728	0.149506
chr14:70544800-70545000	0.739728	0.032144
chr4:9672400-9672600	0.739728	-1.648442
chr1:188925600-188925800	0.739728	0.159692
chr12:61498100-61498300	-1.656318	-0.277127
chr18:56782400-56782600	-0.619784	-0.670451
chrX:27402900-27403100	0.739728	-2.640288
chrY:24665500-24665700	0.901216	1.393353
chr13:56933800-56934000	-1.817807	1.770686
chr19:54619000-54619200	0.739728	0.142841
chr7:146279800-146280000	-0.458295	2.448841
chr11:81336400-81336600	0.739728	1.623599
chr16:65323300-65323500	-0.458295	-1.648442
chr1:101253200-101253400	0.739728	-1.299923
chrX:147562900-147563100	-0.619784	-1.539935
chr4:84577000-84577200	-0.458295	0.584246
chr3:144036900-144037100	-0.619784	-0.941464
chrX:35735900-35736100	0.901216	-0.157160
chr2:150024100-150024300	-0.458295	-0.863641
chr11:37743600-37743800	-0.619784	-1.750409
chr3:84337500-84337700	-0.458295	0.905922
chr1:102791700-102791900	-0.458295	0.654212
chr1:191620300-191620500	-0.619784	0.234225
chr4:63747200-63747400	-0.619784	-0.336303
chr11:37828900-37829100	-0.458295	-0.217684
chr18:30617900-30618100	-0.458295	0.755798
chr1:34938900-34939100	0.739728	-1.167164
chr7:20279900-20280100	-0.458295	-0.314933
chr8:65859800-65860000	-0.619784	1.539588
chrX:90633800-90634000	2.099239	-1.211227
chr3:171991800-171992000	0.901216	-0.188241
chr14:98048300-98048500	-0.458295	0.208625
chr22:34328900-34329100	0.739728	1.279149
chr15:33793900-33794100	2.099239	0.086252
chr4:133846700-133846900	-0.619784	1.521766
chr21:20225100-20225300	-0.619784	-0.072918
chr6:64837500-64837700	0.739728	1.466033
chr1:45911700-45911900	-0.619784	0.666442
chr9:2722100-2722300	-0.619784	-0.862259
chrY:726600-726800	2.099239	0.780154
chr17:6727500-6727700	0.901216	-0.102990
chr10:102638000-102638200	-1.656318	-0.595294
chr13:102470000-102470200	-0.458295	0.905271
chr4:61003100-61003300	-0.619784	-0.997063
chr15:58493600-58493800	-0.458295	-0.625945
chr8:87281400-87281600	0.739728	1.431628
chr4:63409300-63409500	-0.458295	1.291634
chr8:112950000-112950200	0.739728	2.223805
chr1:104870400-104870600	2.260728	0.345343
chr21:19374000-19374200	-0.458295	0.429525
chr12:10681400-10681600	-0.458295	0.173622
chr12:120927400-120927600	-1.979296	-2.539088
chr5:118318600-118318800	-0.296807	-0.081595
chr2:162951800-162952000	0.739728	0.002357
chr2:78192000-78192200	-0.619784	0.001233
chr6:29298800-29299000	0.739728	-0.314933
chr7:68440100-68440300	-0.458295	-1.536510
chr13:56616900-56617100	-0.458295	-1.662100
chr10:8785700-8785900	0.739728	-0.340686
chr11:110983600-110983800	1.062705	0.799398
chr21:37328700-37328900	0.739728	0.572004
chr18:67986000-67986200	-1.817807	0.190000
chr5:121121300-121121500	0.901216	0.124900
chr15:21116800-21117000	0.739728	0.123226
chr4:132494200-132494400	0.739728	1.928745
chr15:87469800-87470000	-0.458295	-0.087115
chr4:136885700-136885900	0.739728	-0.407520
chr8:77631700-77631900	-0.296807	-0.595294
chr13:83135400-83135600	0.739728	-0.491939
chr13:48693000-48693200	-0.619784	-1.148514
chr8:92903000-92903200	-0.458295	1.220478
chr2:123475800-123476000	-1.494829	1.214171
chrX:50226700-50226900	0.901216	-1.255259
chrX:108140600-108140800	0.901216	1.016633
chr20:6573200-6573400	-0.619784	1.447878
chr9:118445900-118446100	-1.817807	-0.863641
chr14:30555800-30556000	0.739728	-0.953368
chr2:212192100-212192300	-0.458295	-0.153576
chr9:88628000-88628200	0.739728	0.662937
chr4:178787000-178787200	-0.135318	0.864976
chr12:70143500-70143700	0.739728	-0.580022
chr12:64366000-64366200	-1.817807	-3.159198
chr11:88438500-88438700	1.062705	0.719406
chr3:145990500-145990700	-0.458295	0.172656
chr6:50038700-50038900	-0.619784	0.457510
chr13:61890900-61891100	0.739728	-0.915045
chr19:16785500-16785700	-0.458295	0.690891
chr7:9551200-9551400	0.739728	0.251913
chr12:85010700-85010900	-0.619784	-0.549555
chr4:106394200-106394400	-1.494829	-0.993989
chr5:80600300-80600500	-0.458295	-0.683984
