chrom	start	end	boundary_span	jaspar_score	strand	log2_insulation_score_200000	boundary_strength_200000	seq_id
chr1	4403267	4403286	4400000-4410000	803.0	-	-0.4258155733204405	1.0133742739895626	0
chr1	4770055	4770074	4770000-4780000	974.0	+	-0.4891561421204614	1.0029223645532397	1
chr1	4770180	4770199	4770000-4780000	833.0	-	-0.4891561421204614	1.0029223645532397	2
chr1	4770867	4770886	4770000-4780000	816.0	+	-0.4891561421204614	1.0029223645532397	3
chr1	4773435	4773454	4770000-4780000	815.0	+	-0.4891561421204614	1.0029223645532397	4
chr1	4775739	4775758	4770000-4780000	802.0	+	-0.4891561421204614	1.0029223645532397	5
chr1	4777268	4777287	4770000-4780000	821.0	-	-0.4891561421204614	1.0029223645532397	6
chr1	4777427	4777446	4770000-4780000	802.0	-	-0.4891561421204614	1.0029223645532397	7
chr1	5905000	5905019	5900000-5910000	872.0	-	-0.4044046781314687	0.8737380268640735	8
chr1	5905410	5905429	5900000-5910000	814.0	+	-0.4044046781314687	0.8737380268640735	9
chr1	5905663	5905682	5900000-5910000	808.0	-	-0.4044046781314687	0.8737380268640735	10
chr1	6190724	6190743	6190000-6200000	849.0	-	-0.452379377939026	0.9641782460789798	11
chr1	6191534	6191553	6190000-6200000	842.0	-	-0.452379377939026	0.9641782460789798	12
chr1	6195874	6195893	6190000-6200000	858.0	-	-0.452379377939026	0.9641782460789798	13
chr1	9545333	9545352	9540000-9550000	899.0	-	-0.5550127182496928	1.0801906658076184	14
chr1	9546139	9546158	9540000-9550000	847.0	-	-0.5550127182496928	1.0801906658076184	15
chr1	9546407	9546426	9540000-9550000	811.0	+	-0.5550127182496928	1.0801906658076184	16
chr1	9546589	9546608	9540000-9550000	807.0	-	-0.5550127182496928	1.0801906658076184	17
chr1	9548558	9548577	9540000-9550000	809.0	+	-0.5550127182496928	1.0801906658076184	18
chr1	9548732	9548751	9540000-9550000	806.0	+	-0.5550127182496928	1.0801906658076184	19
chr1	9549166	9549185	9540000-9550000	894.0	+	-0.5550127182496928	1.0801906658076184	20
chr1	9549807	9549826	9540000-9550000	824.0	-	-0.5550127182496928	1.0801906658076184	21
chr1	10229100	10229119	10220000-10230000	847.0	+	-0.5847600197207294	1.0614265673125856	22
chr1	10229217	10229236	10220000-10230000	817.0	+	-0.5847600197207294	1.0614265673125856	23
chr1	11140104	11140123	11140000-11150000	853.0	-	-0.1472047436161875	0.3970746796972057	24
chr1	11143840	11143859	11140000-11150000	805.0	-	-0.1472047436161875	0.3970746796972057	25
chr1	11145411	11145430	11140000-11150000	802.0	+	-0.1472047436161875	0.3970746796972057	26
chr1	11149106	11149125	11140000-11150000	813.0	+	-0.1472047436161875	0.3970746796972057	27
chr1	11657891	11657910	11650000-11660000	927.0	+	-0.6461598940929112	1.0317948124158642	28
chr1	12843776	12843795	12840000-12850000	802.0	-	-0.5121208899521004	0.8063559636472164	29
chr1	12844004	12844023	12840000-12850000	871.0	+	-0.5121208899521004	0.8063559636472164	30
chr1	12844329	12844348	12840000-12850000	801.0	-	-0.5121208899521004	0.8063559636472164	31
chr1	14110186	14110205	14110000-14120000	847.0	-	-0.0507926774005182	0.3552059809819615	32
chr1	14727560	14727579	14720000-14730000	807.0	-	-0.3648740245335084	0.477701043021122	33
chr1	14729230	14729249	14720000-14730000	931.0	-	-0.3648740245335084	0.477701043021122	34
chr1	14995520	14995539	14990000-15000000	800.0	+	-0.5812636002871332	1.0055617666236143	35
chr1	14998395	14998414	14990000-15000000	810.0	-	-0.5812636002871332	1.0055617666236143	36
chr1	15632096	15632115	15630000-15640000	821.0	+	-0.5056232401192207	0.8839124029760861	37
chr1	15637465	15637484	15630000-15640000	808.0	-	-0.5056232401192207	0.8839124029760861	38
chr1	16092454	16092473	16090000-16100000	801.0	+	-0.4560228091328497	0.5484299836952575	39
chr1	17144488	17144507	17140000-17150000	841.0	-	-0.8690366061804459	1.3399776091825677	40
chr1	19084608	19084627	19080000-19090000	808.0	-	-0.7031314119461669	1.0004209094306402	41
chr1	19086935	19086954	19080000-19090000	818.0	-	-0.7031314119461669	1.0004209094306402	42
chr1	20298719	20298738	20290000-20300000	833.0	-	-0.1850931707605032	0.375364271362567	43
chr1	21411386	21411405	21410000-21420000	890.0	+	-0.8394453013059276	1.2354647558661782	44
chr1	21414847	21414866	21410000-21420000	821.0	-	-0.8394453013059276	1.2354647558661782	45
chr1	21950776	21950795	21950000-21960000	802.0	-	-0.1495963930725235	0.3045893009516732	46
chr1	24286577	24286596	24280000-24290000	819.0	-	-0.7776139843722506	1.026342176047367	47
chr1	24684249	24684268	24680000-24690000	842.0	+	-0.5609953022233141	0.807291904634476	48
chr1	25527135	25527154	25520000-25530000	864.0	+	-0.1830596475311217	0.2986825083833079	49
chr1	28793234	28793253	28790000-28800000	803.0	+	-0.2751311761684547	0.3455917332254334	50
chr1	30697323	30697342	30690000-30700000	801.0	+	-0.9580151166273576	1.3989579389278213	51
chr1	32160894	32160913	32160000-32170000	801.0	-	-0.1882698134442994	0.2732702960648949	52
chr1	32712227	32712246	32710000-32720000	806.0	-	-0.2022546490605261	0.3537976825900939	53
chr1	34453048	34453067	34450000-34460000	859.0	+	-0.5174461940316581	0.6866513441639441	54
chr1	34456487	34456506	34450000-34460000	825.0	-	-0.5174461940316581	0.6866513441639441	55
chr1	34459879	34459898	34450000-34460000	844.0	+	-0.5174461940316581	0.6866513441639441	56
chr1	34883192	34883211	34880000-34890000	816.0	-	-0.7025020241973823	1.0179707793758437	57
chr1	35713888	35713907	35710000-35720000	813.0	+	-0.1533067717397531	0.6274918838458464	58
chr1	35716130	35716149	35710000-35720000	900.0	-	-0.1533067717397531	0.6274918838458464	59
chr1	36133098	36133117	36130000-36140000	810.0	+	-0.2114252695082598	0.7124464331251108	60
chr1	36774637	36774656	36770000-36780000	800.0	+	-0.4318482659080889	0.9867712968685144	61
chr1	36778137	36778156	36770000-36780000	834.0	-	-0.4318482659080889	0.9867712968685144	62
chr1	37250510	37250529	37250000-37260000	861.0	+	-0.2958958036557385	0.777296431655422	63
chr1	37250857	37250876	37250000-37260000	952.0	-	-0.2958958036557385	0.777296431655422	64
chr1	37255135	37255154	37250000-37260000	813.0	+	-0.2958958036557385	0.777296431655422	65
chr1	37258139	37258158	37250000-37260000	839.0	+	-0.2958958036557385	0.777296431655422	66
chr1	37259328	37259347	37250000-37260000	807.0	-	-0.2958958036557385	0.777296431655422	67
chr1	37656131	37656150	37650000-37660000	819.0	-	-0.2124076454737848	0.4726609597654868	68
chr1	37659824	37659843	37650000-37660000	812.0	-	-0.2124076454737848	0.4726609597654868	69
chr1	38130121	38130140	38130000-38140000	915.0	-	-0.9845121761046384	1.577723482088551	70
chr1	38132329	38132348	38130000-38140000	801.0	+	-0.9845121761046384	1.577723482088551	71
chr1	38780239	38780258	38780000-38790000	853.0	+	-0.4857356057324635	0.3961672183327064	72
chr1	38785332	38785351	38780000-38790000	823.0	+	-0.4857356057324635	0.3961672183327064	73
chr1	38787633	38787652	38780000-38790000	853.0	-	-0.4857356057324635	0.3961672183327064	74
chr1	38789134	38789153	38780000-38790000	924.0	+	-0.4857356057324635	0.3961672183327064	75
chr1	38999284	38999303	38990000-39000000	856.0	+	-0.5145740467124642	0.8152978031938986	76
chr1	39360518	39360537	39360000-39370000	840.0	+	-0.2433473404904159	0.4303051573849329	77
chr1	39362330	39362349	39360000-39370000	828.0	+	-0.2433473404904159	0.4303051573849329	78
chr1	39364659	39364678	39360000-39370000	813.0	+	-0.2433473404904159	0.4303051573849329	79
chr1	39365142	39365161	39360000-39370000	822.0	+	-0.2433473404904159	0.4303051573849329	80
chr1	39368956	39368975	39360000-39370000	800.0	+	-0.2433473404904159	0.4303051573849329	81
chr1	39544586	39544605	39540000-39550000	824.0	-	-0.4446426667261434	0.8914989797745703	82
chr1	39547425	39547444	39540000-39550000	855.0	+	-0.4446426667261434	0.8914989797745703	83
chr1	39990443	39990462	39990000-40000000	810.0	+	-0.4865914266632365	0.9191793232356243	84
chr1	39999917	39999936	39990000-40000000	801.0	-	-0.4865914266632365	0.9191793232356243	85
chr1	40854800	40854819	40850000-40860000	806.0	-	-0.6102571107950165	0.7405517163061237	86
chr1	40856178	40856197	40850000-40860000	832.0	-	-0.6102571107950165	0.7405517163061237	87
chr1	40857938	40857957	40850000-40860000	818.0	-	-0.6102571107950165	0.7405517163061237	88
chr1	41149884	41149903	41140000-41150000	865.0	-	-0.324832321481496	0.4395474892181472	89
chr1	42706885	42706904	42700000-42710000	845.0	+	-0.6334810815009317	0.9828475081107512	90
chr1	42707159	42707178	42700000-42710000	844.0	+	-0.6334810815009317	0.9828475081107512	91
chr1	44198541	44198560	44190000-44200000	810.0	+	-1.040596458483096	1.48957194058191	92
chr1	44199081	44199100	44190000-44200000	802.0	+	-1.040596458483096	1.48957194058191	93
chr1	44741453	44741472	44740000-44750000	881.0	-	-0.5587471052928004	0.941537196107196	94
chr1	44745863	44745882	44740000-44750000	863.0	+	-0.5587471052928004	0.941537196107196	95
chr1	46097337	46097356	46090000-46100000	820.0	+	-0.2209354418863444	0.4793872555627586	96
chr1	46760030	46760049	46760000-46770000	832.0	+	-0.0909037162295955	0.2852586889434109	97
chr1	46769142	46769161	46760000-46770000	809.0	-	-0.0909037162295955	0.2852586889434109	98
chr1	50925538	50925557	50920000-50930000	881.0	-	-0.467916852354875	0.6233827903259563	99
chr1	50926482	50926501	50920000-50930000	812.0	-	-0.467916852354875	0.6233827903259563	100
chr1	50927230	50927249	50920000-50930000	844.0	+	-0.467916852354875	0.6233827903259563	101
chr1	51639053	51639072	51630000-51640000	850.0	+	-0.7620018827050028	1.160537851771651	102
chr1	51639162	51639181	51630000-51640000	804.0	-	-0.7620018827050028	1.160537851771651	103
chr1	52129240	52129259	52120000-52130000	831.0	+	-0.4281853824331943	0.598898914962179	104
chr1	52630617	52630636	52630000-52640000	924.0	-	-0.275507878401745	0.4084732832037661	105
chr1	52635530	52635549	52630000-52640000	825.0	+	-0.275507878401745	0.4084732832037661	106
chr1	53032755	53032774	53030000-53040000	887.0	-	-0.4434887294626512	0.8002527537126141	107
chr1	53033229	53033248	53030000-53040000	817.0	-	-0.4434887294626512	0.8002527537126141	108
chr1	53033377	53033396	53030000-53040000	819.0	+	-0.4434887294626512	0.8002527537126141	109
chr1	53033499	53033518	53030000-53040000	812.0	+	-0.4434887294626512	0.8002527537126141	110
chr1	53035053	53035072	53030000-53040000	850.0	+	-0.4434887294626512	0.8002527537126141	111
chr1	53698941	53698960	53690000-53700000	838.0	+	-0.4522306608857199	0.791837663811338	112
chr1	53926430	53926449	53920000-53930000	813.0	-	-0.4207063122913112	0.7153858892940563	113
chr1	53927795	53927814	53920000-53930000	873.0	-	-0.4207063122913112	0.7153858892940563	114
chr1	54381456	54381475	54380000-54390000	913.0	-	-0.520992276195406	1.0252132419279298	115
chr1	54984449	54984468	54980000-54990000	836.0	+	-0.3298157729894769	0.4414568896654064	116
chr1	54985285	54985304	54980000-54990000	835.0	+	-0.3298157729894769	0.4414568896654064	117
chr1	54987161	54987180	54980000-54990000	823.0	-	-0.3298157729894769	0.4414568896654064	118
chr1	54989672	54989691	54980000-54990000	805.0	+	-0.3298157729894769	0.4414568896654064	119
chr1	55401241	55401260	55400000-55410000	801.0	-	-0.4538987198537265	0.8781540780018038	120
chr1	55404542	55404561	55400000-55410000	843.0	+	-0.4538987198537265	0.8781540780018038	121
chr1	55886566	55886585	55880000-55890000	904.0	+	-0.8867990950471317	1.0821457509997918	122
chr1	56980330	56980349	56980000-56990000	821.0	-	-0.7090307026989793	0.8742114734056906	123
chr1	56984315	56984334	56980000-56990000	808.0	+	-0.7090307026989793	0.8742114734056906	124
chr1	56985123	56985142	56980000-56990000	815.0	-	-0.7090307026989793	0.8742114734056906	125
chr1	56987654	56987673	56980000-56990000	833.0	+	-0.7090307026989793	0.8742114734056906	126
chr1	57406326	57406345	57400000-57410000	834.0	+	-1.1569588306239065	1.9137656367650009	127
chr1	57406555	57406574	57400000-57410000	850.0	+	-1.1569588306239065	1.9137656367650009	128
chr1	57997802	57997821	57990000-58000000	838.0	-	-0.3040097446178708	0.6431394557063946	129
chr1	58382109	58382128	58380000-58390000	834.0	+	-0.5658132599699492	0.961852795854078	130
chr1	58984484	58984503	58980000-58990000	859.0	-	-0.0003791942461716	0.2816636401404756	131
chr1	58984819	58984838	58980000-58990000	814.0	-	-0.0003791942461716	0.2816636401404756	132
chr1	58987583	58987602	58980000-58990000	801.0	+	-0.0003791942461716	0.2816636401404756	133
chr1	59244855	59244874	59240000-59250000	803.0	+	-0.4127805799060371	0.8836802434270294	134
chr1	60961297	60961316	60960000-60970000	886.0	-	-0.8182155120227024	1.381795898982859	135
chr1	61771420	61771439	61770000-61780000	912.0	-	-0.3120519592182767	0.489395948250477	136
chr1	61774596	61774615	61770000-61780000	832.0	-	-0.3120519592182767	0.489395948250477	137
chr1	62701200	62701219	62700000-62710000	884.0	-	-0.4848580069543661	0.6813102368754613	138
chr1	62701353	62701372	62700000-62710000	834.0	-	-0.4848580069543661	0.6813102368754613	139
chr1	62706652	62706671	62700000-62710000	834.0	-	-0.4848580069543661	0.6813102368754613	140
chr1	62707787	62707806	62700000-62710000	813.0	-	-0.4848580069543661	0.6813102368754613	141
chr1	62707902	62707921	62700000-62710000	810.0	+	-0.4848580069543661	0.6813102368754613	142
chr1	62708644	62708663	62700000-62710000	856.0	-	-0.4848580069543661	0.6813102368754613	143
chr1	62709521	62709540	62700000-62710000	816.0	-	-0.4848580069543661	0.6813102368754613	144
chr1	63042680	63042699	63040000-63050000	815.0	+	-0.7387510449247743	0.956601444868464	145
chr1	64525518	64525537	64520000-64530000	808.0	+	-0.7932605909845193	1.1717749904456334	146
chr1	66688892	66688911	66680000-66690000	802.0	+	-0.5811130872781727	0.3840127070264559	147
chr1	67181366	67181385	67180000-67190000	864.0	+	-0.669840381641075	0.8468298795957858	148
chr1	67548191	67548210	67540000-67550000	814.0	+	-0.2234615908874677	0.3257728671296814	149
chr1	68453076	68453095	68450000-68460000	804.0	-	-0.2372820805976663	0.4052259723705459	150
chr1	69165358	69165377	69160000-69170000	864.0	+	-1.0515625750025757	1.444864423838875	151
chr1	69166603	69166622	69160000-69170000	864.0	+	-1.0515625750025757	1.444864423838875	152
chr1	70248077	70248096	70240000-70250000	838.0	+	-0.3778474880492597	0.4887282373889696	153
chr1	70750618	70750637	70750000-70760000	849.0	+	-0.3330430479817201	0.3849592521238189	154
chr1	70757010	70757029	70750000-70760000	909.0	+	-0.3330430479817201	0.3849592521238189	155
chr1	71102841	71102860	71100000-71110000	847.0	-	-0.4060310279194523	0.5691866042918382	156
chr1	71549935	71549954	71540000-71550000	805.0	+	-1.029309153717855	1.3349173643142218	157
chr1	72158618	72158637	72150000-72160000	813.0	-	-1.1818559514146003	1.9642926172781128	158
chr1	72158937	72158956	72150000-72160000	806.0	+	-1.1818559514146003	1.9642926172781128	159
chr1	72701411	72701430	72700000-72710000	848.0	-	-0.2919227835822943	0.4663809331839574	160
chr1	72870007	72870026	72870000-72880000	828.0	-	-0.8640839592949674	1.154732746597303	161
chr1	72873886	72873905	72870000-72880000	810.0	+	-0.8640839592949674	1.154732746597303	162
chr1	72874105	72874124	72870000-72880000	810.0	+	-0.8640839592949674	1.154732746597303	163
chr1	72876255	72876274	72870000-72880000	829.0	+	-0.8640839592949674	1.154732746597303	164
chr1	72876487	72876506	72870000-72880000	843.0	+	-0.8640839592949674	1.154732746597303	165
chr1	72876849	72876868	72870000-72880000	833.0	-	-0.8640839592949674	1.154732746597303	166
chr1	73283534	73283553	73280000-73290000	822.0	+	-0.0575043825136669	0.3336210318387101	167
chr1	73863243	73863262	73860000-73870000	859.0	-	-0.9190598226101452	1.3160139683325358	168
chr1	74180862	74180881	74180000-74190000	841.0	-	-0.2640916031823979	0.7693515935716797	169
chr1	74448655	74448674	74440000-74450000	816.0	-	-0.1393446289997188	0.4744317752379401	170
chr1	75312309	75312328	75310000-75320000	842.0	+	-0.0135782572738383	0.436522845068894	171
