out_folder	locus_specification	shuffle_parameter	mutation_method	ctcf_selection_threshold	map_score_threshold	GC_content
data	chr3,42616832,43927552	8	permute_whole_seq	8	5000	0.36728439331054685
data	chr2,81074176,82384896	8	permute_whole_seq	8	5000	0.3672210693359375
data	chr3,44582912,45893632	8	permute_whole_seq	8	5000	0.3671844482421875
data	chr2,96673792,97984512	8	permute_whole_seq	8	5000	0.367138671875
data	chr3,110370816,111681536	8	permute_whole_seq	8	5000	0.36711654663085935
data	chr1,140787712,142098432	8	permute_whole_seq	8	5000	0.36702880859375
data	chr1,47992832,49303552	8	permute_whole_seq	8	5000	0.3670257568359375
data	chr2,98639872,99950592	8	permute_whole_seq	8	5000	0.36684188842773435
data	chr3,113860608,115171328	8	permute_whole_seq	8	5000	0.36683197021484376
data	chr2,81729536,83040256	8	permute_whole_seq	8	5000	0.3668060302734375
