chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
chr12	35192359	35192378	-	53.66	>>	0	0	90
chr7	139598311	139598330	+	0.05814	>>	0	0	90
chr12	35192359	35192378	-	53.66	>>	1	0	90
chr7	139598311	139598330	+	0.05814	>>	1	0	90
chr12	35192359	35192378	-	53.66	>>	0	1	89
chr7	139598311	139598330	+	0.05814	>>	0	1	89
chr12	35192359	35192378	-	53.66	>>	1	1	89
chr7	139598311	139598330	+	0.05814	>>	1	1	89
chr12	35192359	35192378	-	53.66	>>	0	2	88
chr7	139598311	139598330	+	0.05814	>>	0	2	88
chr12	35192359	35192378	-	53.66	>>	1	2	88
chr7	139598311	139598330	+	0.05814	>>	1	2	88
chr12	35192359	35192378	-	53.66	>>	0	3	87
chr7	139598311	139598330	+	0.05814	>>	0	3	87
chr12	35192359	35192378	-	53.66	>>	1	3	87
chr7	139598311	139598330	+	0.05814	>>	1	3	87
chr12	35192359	35192378	-	53.66	>>	0	4	86
chr7	139598311	139598330	+	0.05814	>>	0	4	86
chr12	35192359	35192378	-	53.66	>>	1	4	86
chr7	139598311	139598330	+	0.05814	>>	1	4	86
chr12	35192359	35192378	-	53.66	>>	0	5	85
chr7	139598311	139598330	+	0.05814	>>	0	5	85
chr12	35192359	35192378	-	53.66	>>	1	5	85
chr7	139598311	139598330	+	0.05814	>>	1	5	85
