experiment_id	chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
0	chr12	35192359	35192378	-	53.66	>>	1	20	0
1	chr12	35192359	35192378	-	53.66	><	1	20	0
2	chr12	35192359	35192378	-	53.66	<>	1	20	0
3	chr12	35192359	35192378	-	53.66	<<	1	20	0
4	chr12	35192359	35192378	-	53.66	>>	2	20	0
5	chr12	35192359	35192378	-	53.66	><	2	20	0
6	chr12	35192359	35192378	-	53.66	<>	2	20	0
7	chr12	35192359	35192378	-	53.66	<<	2	20	0
8	chr12	35192359	35192378	-	53.66	>>	1	20	49980
9	chr12	35192359	35192378	-	53.66	><	1	20	49980
10	chr12	35192359	35192378	-	53.66	<>	1	20	49980
11	chr12	35192359	35192378	-	53.66	<<	1	20	49980
12	chr12	35192359	35192378	-	53.66	>>	2	20	49980
13	chr12	35192359	35192378	-	53.66	><	2	20	49980
14	chr12	35192359	35192378	-	53.66	<>	2	20	49980
15	chr12	35192359	35192378	-	53.66	<<	2	20	49980
16	chr12	35192359	35192378	-	53.66	>>	1	20	99980
17	chr12	35192359	35192378	-	53.66	><	1	20	99980
18	chr12	35192359	35192378	-	53.66	<>	1	20	99980
19	chr12	35192359	35192378	-	53.66	<<	1	20	99980
20	chr12	35192359	35192378	-	53.66	>>	2	20	99980
21	chr12	35192359	35192378	-	53.66	><	2	20	99980
22	chr12	35192359	35192378	-	53.66	<>	2	20	99980
23	chr12	35192359	35192378	-	53.66	<<	2	20	99980
24	chr12	35192359	35192378	-	53.66	>>	1	20	199980
25	chr12	35192359	35192378	-	53.66	><	1	20	199980
26	chr12	35192359	35192378	-	53.66	<>	1	20	199980
27	chr12	35192359	35192378	-	53.66	<<	1	20	199980
28	chr12	35192359	35192378	-	53.66	>>	2	20	199980
29	chr12	35192359	35192378	-	53.66	><	2	20	199980
30	chr12	35192359	35192378	-	53.66	<>	2	20	199980
31	chr12	35192359	35192378	-	53.66	<<	2	20	199980
32	chr12	35192359	35192378	-	53.66	>>	1	20	349980
33	chr12	35192359	35192378	-	53.66	><	1	20	349980
34	chr12	35192359	35192378	-	53.66	<>	1	20	349980
35	chr12	35192359	35192378	-	53.66	<<	1	20	349980
36	chr12	35192359	35192378	-	53.66	>>	2	20	349980
37	chr12	35192359	35192378	-	53.66	><	2	20	349980
38	chr12	35192359	35192378	-	53.66	<>	2	20	349980
39	chr12	35192359	35192378	-	53.66	<<	2	20	349980
